source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
BCHM220_HoCl_Yedy_frac15	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HoCl_Yedy_frac15.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	15	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HoCl_YedY_frac1	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HoCl_YedY_frac1.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HOCl_frac11	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HOCl_frac11.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	11	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_Ctrl_frac19	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_Ctrl_frac19.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	19	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_Ctrl_frac3	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_Ctrl_frac3.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	3	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HOCl_frac19	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HOCl_frac19.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	19	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HoCl_Yedy_frac5	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HoCl_Yedy_frac5.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	5	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HOCl_frac2	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HOCl_frac2.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	2	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HOCl_frac5	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HOCl_frac5.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	5	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
BCHM220_HOCl_frac21	Escherichia coli	periplasm	not available	1	not available	2D-LC/MS	proteomic profiling by mass spectrometry	1	BCHM220_HOCl_frac21.RAW	v1.1.0	Data-dependent acquisition	NT=LTQ;AC=MS:1000447	NT=Trypsin;AC=MS:1001251	label free sample	21	AC=MS:1000133;NT=CID	1.0 Da	831 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	35 eV	AC=MS:1000264;NT=ion trap	300	2000	1
