source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
KS225_HCD	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS225_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS225_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS225_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS206_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS206_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS206_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS206_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS289_3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	3	KS289_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS289_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS289_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS289_4	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	4	KS289_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS289_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS289_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS303	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS303	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS303.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS303.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS295_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS295_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS295_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS295_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS322_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS322_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS322_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS322_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS121_HCD	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS121_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS121_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS121_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS089	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS089	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS089.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS089.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS249	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS249	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS249.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS249.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
