source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
WT2	sinorhizobium meliloti	not available	not applicable	not available	enrichment of phosphorylated protein	1	WT2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	WT2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002064/WT2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT1	sinorhizobium meliloti	not available	not applicable	not available	enrichment of phosphorylated protein	1	WT1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	WT1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002064/WT1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
