source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD067792-Sample-1	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_001_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-001	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_001_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-001.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-2	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_007_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_007_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-3	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_013_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-002	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_013_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-002.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-4	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_025_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-003	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_025_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-003.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-5	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_028_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_028_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-6	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_030_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_030_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-7	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_037_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-004	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_037_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-004.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-8	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_040_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_040_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-9	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_041_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_041_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-10	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_049_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-005	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_049_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-005.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
