source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[mock community]	characteristics[mock community composition]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host age]	characteristics[host sex]	characteristics[host diet]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[laboratory]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[metagenome accession]	comment[expected organism list]	comment[contaminant database]	comment[sample storage temperature]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]	factor value[laboratory]
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	1	S01.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	2	S02.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S03	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	1	S03.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S04	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	2	S04.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S05	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	1	S05.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S06	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	Kleiner_Lab	1	2	S06.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	Kleiner_Lab
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S07	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	UFZ_Leipzig	1	1	S07.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	UFZ_Leipzig
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S08	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	ORNL	1	1	S08.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	ORNL
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S09	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	CEA-Li2D	1	1	S09.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	CEA-Li2D
SIHUMIx	SIHUMIx	NT=human gut metagenome;AC=NCBITaxon:408170	not applicable	not applicable	not applicable	CAMPI	NT=mock community culture;AC=ENVO:01001059	not available	not available	bioreactor harvest of SIHUMIx; 3.5e9 cells/ml frozen aliquots	-20C	SIHUMIx human intestinal mock community	SIHUMIx	8-species SIHUMIx human intestinal mock community (A. caccae DSMZ 14662; C. butyricum DSMZ 10702; E. ramosum DSMZ 1402; L. plantarum DSMZ 20174; B. longum NCC 2705; B. thetaiotaomicron DSM 2079; B. producta DSMZ 2950; E. coli MG1655)	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	NT=intestine;AC=UBERON:0000160	not applicable	not applicable	not applicable	no depletion	1	S10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	not applicable	CEA-Li2D	1	1	S10.raw	PRJEB42466	Anaerostipes caccae;Clostridium butyricum;Erysipelatoclostridium ramosum;Lactobacillus plantarum;Bifidobacterium longum;Bacteroides thetaiotaomicron;Blautia producta;Escherichia coli	cRAP	-20 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SIHUMIx	CEA-Li2D
