source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Escherichia coli	NT=cell lysate	not available	1	not available	Assay1	proteomic profiling by mass spectrometry	1	1DLC052018QE_Thermo045_test1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Escherichia coli	NT=cell lysate	not available	1	not available	Assay2	proteomic profiling by mass spectrometry	1	1DLC051718QE_YM30_test2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Escherichia coli	NT=cell lysate	not available	1	not available	Assay3	proteomic profiling by mass spectrometry	1	1DLC051018QE_ProtifiSTrap_test3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	NT=cell lysate	not available	1	not available	Assay4	proteomic profiling by mass spectrometry	1	1DLC052018QE_Millipore045_test2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Escherichia coli	NT=cell lysate	not available	1	not available	Assay5	proteomic profiling by mass spectrometry	1	1DLC052018QE_Millipore045_test1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Escherichia coli	NT=cell lysate	not available	1	not available	Assay6	proteomic profiling by mass spectrometry	1	1DLC051018QE_ProtifiSTrap_test2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Escherichia coli	NT=cell lysate	not available	1	not available	Assay7	proteomic profiling by mass spectrometry	1	1DLC052018QE_Thermo045_test2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	NT=cell lysate	not available	1	not available	Assay8	proteomic profiling by mass spectrometry	1	1DLC052018QE_Thermo045_test3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Escherichia coli	NT=cell lysate	not available	1	not available	Assay9	proteomic profiling by mass spectrometry	1	1DLC052018QE_Millipore045_test3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Escherichia coli	NT=cell lysate	not available	1	not available	Assay10	proteomic profiling by mass spectrometry	1	1DLC051718QE_YM30_test3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample11	Escherichia coli	NT=cell lysate	not available	1	not available	Assay11	proteomic profiling by mass spectrometry	1	1DLC051718QE_YM30_test1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample12	Escherichia coli	NT=cell lysate	not available	1	not available	Assay12	proteomic profiling by mass spectrometry	1	1DLC051018QE_ProtifiSTrap_test1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
