source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[fusion protein]
LCL_GFP_1	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	1	not applicable	18417	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7572_Harhai_DIA_18417_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GFP-3flag
LCL_GFP_2	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	2	not applicable	18418	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7573_Harhai_DIA_18418_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GFP-3flag
LCL_GFP_3	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	3	not applicable	18419	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7574_Harhai_DIA_18419_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GFP-3flag
LCL_GFP_4	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	4	not applicable	18420	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7575_Harhai_DIA_18420_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GFP-3flag
LCL_FAM_1	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	5	not applicable	18421	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7576_Harhai_DIA_18421_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FAM136A-3flag
LCL_FAM_2	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	6	not applicable	18422	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7577_Harhai_DIA_18422_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FAM136A-3flag
LCL_FAM_3	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	7	not applicable	18423	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7578_Harhai_DIA_18423_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FAM136A-3flag
LCL_FAM_4	homo sapiens	not applicable	Meniere's disease	not available	lymphoblastoid cell line	not applicable	not available	8	not applicable	18424	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	7579_Harhai_DIA_18424_15SPD.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FAM136A-3flag
