source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[material type]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[cross-linker]	comment[crosslink distance]	comment[crosslink enrichment method]	comment[chemical cross-linking coupled with ms]	comment[enrichment process]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
TurboID-CRBN_HEK293_TC1_POM	homo sapiens	kidney	normal	not applicable	1	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC1_POM_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC1_Mpos_POM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	Pomalidomide
TurboID-CRBN_HEK293_TC2_POM	homo sapiens	kidney	normal	not applicable	2	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC2_POM_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC2_Mpos_POM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	Pomalidomide
TurboID-CRBN_HEK293_TC3_POM	homo sapiens	kidney	normal	not applicable	3	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC3_POM_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC3_Mpos_POM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	Pomalidomide
TurboID-CRBN_HEK293_TC1_DMSO	homo sapiens	kidney	normal	not applicable	1	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC1_DMSO_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC1_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	DMSO
TurboID-CRBN_HEK293_TC2_DMSO	homo sapiens	kidney	normal	not applicable	2	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC2_DMSO_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC2_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	DMSO
TurboID-CRBN_HEK293_TC3_DMSO	homo sapiens	kidney	normal	not applicable	3	HEK293	CLO:0001230	HEK293	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not applicable	TC3_DMSO_rep1	proteomic profiling by mass spectrometry	AC=MS:1002732;NT=Orbitrap Fusion Lumos	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=GlyGly;AC=UNIMOD:1213;TA=K;MT=Variable	AC=PRIDE:0000590;NT=HCD	NT=DSS;AC=XLMOD:02001	30 Å	not available	Chemical cross-linking coupled with mass spectrometry proteomics	enrichment of cross-linked peptides	label free sample	1	1	211011_LU02_sabkeller_TC3_Mpos_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	DMSO
