source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231224zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	11	A20231224zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231226zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	12	A20231226zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231227zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	13	A20231227zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	14	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_newtrap	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	15	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_newtrap.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_newtrap_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	16	A20231228zengl_ml_30min_iDIA_QCML_500ng_20231113ML_newtrap_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231229zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	17	A20231229zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240102zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	18	A20240102zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240105zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	19	A20240105zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240108zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	20	A20240108zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240110zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	21	A20240110zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240114zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	22	A20240114zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	23	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	24	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	25	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	26	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	27	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
