source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	characteristics[cellosaurus accession]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 401	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr12.raw	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr12.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 402	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr13.raw	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr13.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 403	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr6.raw	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr6.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 405	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr7.raw	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr7.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 406	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr8.raw	20141019_alr_CompleteHumanProteome_GM12878_HCD_LysC_fr8.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 408	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr10.raw	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr10.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 409	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr11.raw	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr11.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 410	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr14.raw	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr14.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 412	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr15.raw	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr15.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
PXD024364-Sample 14	Homo sapiens	Peripheral vein	not available	not available	GM12878	B-Lymphocyte	not available	White	not available	1	cell	not available	not available	run 413	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr17_141031155246.raw	20141029_alr_CompleteHumanProteome_GM12878_LysC_HCD_fr17_141031155246.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1001309;NT=Lys-C	AC=PRIDE:0000590;NT=HCD	30 ppm	0.4 Da	GM12878
