source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Gel_based_approach.baf	Gossypium	not available	not applicable	not available	glycopeptide enrichment	1	Gel_based_approach.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	not applicable	not available	1	1	Gel_based_approach.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000178/Gel_based_approach.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Solution_based_approach.baf	Gossypium	not available	not applicable	not available	glycopeptide enrichment	1	Solution_based_approach.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	not applicable	not available	1	1	Solution_based_approach.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000178/Solution_based_approach.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
