source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Sample1	Escherichia coli	not available	not available	1	not available	Assay1	proteomic profiling by mass spectrometry	1	130326_07_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S2_P13.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample2	Escherichia coli	not available	not available	1	not available	Assay2	proteomic profiling by mass spectrometry	1	130323_07_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S1_P4.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample3	Escherichia coli	not available	not available	1	not available	Assay3	proteomic profiling by mass spectrometry	1	130325_01_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S2_P1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample4	Escherichia coli	not available	not available	1	not available	Assay4	proteomic profiling by mass spectrometry	1	130324_10_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S1_P14.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample5	Escherichia coli	not available	not available	1	not available	Assay5	proteomic profiling by mass spectrometry	1	130401_10_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F200_S2_P2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample6	Escherichia coli	not available	not available	1	not available	Assay6	proteomic profiling by mass spectrometry	1	130329_01_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F200_S1_P1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample7	Escherichia coli	not available	not available	1	not available	Assay7	proteomic profiling by mass spectrometry	1	130329_07_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F200_S1_P5.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample8	Escherichia coli	not available	not available	1	not available	Assay8	proteomic profiling by mass spectrometry	1	130401_16_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F200_S2_P6.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample9	Escherichia coli	not available	not available	1	not available	Assay9	proteomic profiling by mass spectrometry	1	130323_04_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S1_P2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
Sample10	Escherichia coli	not available	not available	1	not available	Assay10	proteomic profiling by mass spectrometry	1	130324_01_Orbi1_SK_SER_G250_T295_Piimhappe_BT_projekt_proov_F201_S1_P8.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	9	35 eV	AC=MS:1000484;NT=orbitrap	300	1900	2
