source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20220918_EMH_D1-1_Phos_1stincubFFrat_Muscle_R6_7600_ZS_1_52	rattus norvegicus	muscle	not applicable	not available	enrichment of phosphorylated protein	52	20220918_EMH_D1-1_Phos_1stincubFFrat_Muscle_R6_7600_ZS_1_52	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220918_EMH_D1-1_Phos_1stincubFFrat_Muscle_R6_7600_ZS_1_52.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220918_EMH_D1-1_Phos_1stincubFFrat_Muscle_R6_7600_ZS_1_52.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	muscle
20220912_EMH_HEK_7600_ZS_1_30min_100	rattus norvegicus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20220912_EMH_HEK_7600_ZS_1_30min_100	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_HEK_7600_ZS_1_30min_100.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_HEK_7600_ZS_1_30min_100.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20220914_EMH_D1-1_Phos_2ndincubFFrat_Heart_R2_7600_ZS_1_13	rattus norvegicus	heart	not applicable	not available	enrichment of phosphorylated protein	13	20220914_EMH_D1-1_Phos_2ndincubFFrat_Heart_R2_7600_ZS_1_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220914_EMH_D1-1_Phos_2ndincubFFrat_Heart_R2_7600_ZS_1_13.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220914_EMH_D1-1_Phos_2ndincubFFrat_Heart_R2_7600_ZS_1_13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
20220912_EMH_D1-1_Prot_400ng_FFrat_Testis_R5_7600_ZS_1_40	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	40	20220912_EMH_D1-1_Prot_400ng_FFrat_Testis_R5_7600_ZS_1_40	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Testis_R5_7600_ZS_1_40.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Testis_R5_7600_ZS_1_40.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Kidney_R3_7600_ZS_1_10	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	10	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Kidney_R3_7600_ZS_1_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Kidney_R3_7600_ZS_1_10.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Kidney_R3_7600_ZS_1_10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20220901_EMH_HEK_MS2acc02_50VW_7600_ZS	rattus norvegicus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20220901_EMH_HEK_MS2acc02_50VW_7600_ZS	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220901_EMH_HEK_MS2acc02_50VW_7600_ZS.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220901_EMH_HEK_MS2acc02_50VW_7600_ZS.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
221112_EMH_D1-1_Prot_2ug_FFrat_Brain_R3_6600_M07_S_1_21	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	21	221112_EMH_D1-1_Prot_2ug_FFrat_Brain_R3_6600_M07_S_1_21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	221112_EMH_D1-1_Prot_2ug_FFrat_Brain_R3_6600_M07_S_1_21.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/221112_EMH_D1-1_Prot_2ug_FFrat_Brain_R3_6600_M07_S_1_21.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R4_7600_ZS_1_29	rattus norvegicus	heart	not applicable	not available	enrichment of phosphorylated protein	29	20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R4_7600_ZS_1_29	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R4_7600_ZS_1_29.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R4_7600_ZS_1_29.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R5_7600_ZS_1_37	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	37	20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R5_7600_ZS_1_37	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R5_7600_ZS_1_37.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R5_7600_ZS_1_37.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20221119_EMH_D1-2_Phos_FFrat_Heart_R1_6600_M07_I_1_07	rattus norvegicus	heart	not applicable	not available	enrichment of phosphorylated protein	7	20221119_EMH_D1-2_Phos_FFrat_Heart_R1_6600_M07_I_1_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221119_EMH_D1-2_Phos_FFrat_Heart_R1_6600_M07_I_1_07.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221119_EMH_D1-2_Phos_FFrat_Heart_R1_6600_M07_I_1_07.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
