source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[compound]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
deta_no_1	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T1B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_2	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T1B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_3	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	3	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T1B3_200ng_ul_150119035315.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_4	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	4	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T2B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_5	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	5	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T2B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_6	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	6	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T2B3_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_7	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	7	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T3B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
deta_no_8	Mycolicibacterium smegmatis	not available	not available	not available	nitric oxide	deta-no	8	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	1	150113_Jess_DETA_T3B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deta-no
h2o2_1	Mycolicibacterium smegmatis	not available	not available	not available	hydrogen peroxide	h2o2	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T1B1_200ng_ul_150113230137.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_2	Mycolicibacterium smegmatis	not available	not available	not available	hydrogen peroxide	h2o2	2	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T1B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
