source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[development]
sample 1	Lathyrus oleraceus	root	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaC2b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	control
sample 1	Lathyrus oleraceus	root	not applicable	not applicable	2	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaC2c	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	control
sample 1	Lathyrus oleraceus	root	not applicable	not applicable	3	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaC3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	control
sample 1	Lathyrus oleraceus	root	not applicable	not applicable	4	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaC3b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	control
sample 2	Lathyrus oleraceus	root	not applicable	not applicable	1	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaR2a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ionizing radiation
sample 2	Lathyrus oleraceus	root	not applicable	not applicable	2	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaR2b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ionizing radiation
sample 2	Lathyrus oleraceus	root	not applicable	not applicable	3	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaR3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ionizing radiation
sample 2	Lathyrus oleraceus	root	not applicable	not applicable	4	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	211216_PeaR3b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ionizing radiation
