source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
S1_Mock-untr_StrepEXO1IP_110729_800-2000_8ul	homo sapiens	Cell culture	not applicable	not available	1	S1_Mock-untr_StrepEXO1IP_110729_800-2000_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S1_Mock-untr_StrepEXO1IP_110729_800-2000_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S1_Mock-untr_StrepEXO1IP_110729_800-2000_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S4_StrepIR_StrepEXO1IP_110728_8ul	homo sapiens	Cell culture	not applicable	not available	1	S4_StrepIR_StrepEXO1IP_110728_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S4_StrepIR_StrepEXO1IP_110728_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S4_StrepIR_StrepEXO1IP_110728_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S1_Mock_StrepEXO1IP_110622_8ul	homo sapiens	Cell culture	not applicable	not available	1	S1_Mock_StrepEXO1IP_110622_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S1_Mock_StrepEXO1IP_110622_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S1_Mock_StrepEXO1IP_110622_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S3_StrepHU_StrepEXO1IP_110728_8ul	homo sapiens	Cell culture	not applicable	not available	1	S3_StrepHU_StrepEXO1IP_110728_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S3_StrepHU_StrepEXO1IP_110728_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S3_StrepHU_StrepEXO1IP_110728_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S1_Mock_StrepEXO1IP_110628_400-600_8ul	homo sapiens	Cell culture	not applicable	not available	1	S1_Mock_StrepEXO1IP_110628_400-600_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S1_Mock_StrepEXO1IP_110628_400-600_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S1_Mock_StrepEXO1IP_110628_400-600_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S2_Strep-EXO1_StrepEXO1IP_110628_800-2000_8ul	homo sapiens	Cell culture	not applicable	not available	1	S2_Strep-EXO1_StrepEXO1IP_110628_800-2000_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S2_Strep-EXO1_StrepEXO1IP_110628_800-2000_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S2_Strep-EXO1_StrepEXO1IP_110628_800-2000_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S4_StrepIR_StrepEXO1IP_110729_800-2000_8ul	homo sapiens	Cell culture	not applicable	not available	1	S4_StrepIR_StrepEXO1IP_110729_800-2000_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S4_StrepIR_StrepEXO1IP_110729_800-2000_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S4_StrepIR_StrepEXO1IP_110729_800-2000_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S1_Mock-untr_StrepEXO1IP_110729_600-800_8ul	homo sapiens	Cell culture	not applicable	not available	1	S1_Mock-untr_StrepEXO1IP_110729_600-800_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S1_Mock-untr_StrepEXO1IP_110729_600-800_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S1_Mock-untr_StrepEXO1IP_110729_600-800_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S2_Strep-untr_StrepEXO1IP_110729_400-600_8ul	homo sapiens	Cell culture	not applicable	not available	1	S2_Strep-untr_StrepEXO1IP_110729_400-600_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S2_Strep-untr_StrepEXO1IP_110729_400-600_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S2_Strep-untr_StrepEXO1IP_110729_400-600_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
S1_Mock_StrepEXO1IP_110628_800-2000_8ul	homo sapiens	Cell culture	not applicable	not available	1	S1_Mock_StrepEXO1IP_110628_800-2000_8ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	1	1	S1_Mock_StrepEXO1IP_110628_800-2000_8ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD002780/S1_Mock_StrepEXO1IP_110628_800-2000_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
