source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230612_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_DSG_SEC95_1ug_FAIMS_001	proteomic profiling by mass spectrometry	20230612_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_DSG_SEC95_1ug_FAIMS_001.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230612_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_DSG_SEC9_1ug_FAIMS_001	proteomic profiling by mass spectrometry	20230612_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_DSG_SEC9_1ug_FAIMS_001.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC105_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC105_500ng_FAIMS_001.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC10_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC10_500ng_FAIMS_001.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC115_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC115_500ng_FAIMS_001.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC11_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC11_500ng_FAIMS_001.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC12_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC12_500ng_FAIMS_001.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC75_0ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC75_0ng_FAIMS_001.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC7_0ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC7_0ng_FAIMS_001.raw	1	19	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD055488-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC85_500ng_FAIMS_001	proteomic profiling by mass spectrometry	20230614_E3_RSLC6_Mueller_MS_TechHub_IMP_THIDVJSSG004_Celegans_Nulcei_S1_Control_SEC85_500ng_FAIMS_001.raw	1	20	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	by	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
