source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
wheat_root_sample68	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 11	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	19-68_Slot1-19_1_3780.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample32	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 12	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	2-32_Slot1-2_1_3763.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample57	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 13	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	20-57_Slot1-20_1_3781.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample65	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 14	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	21-65_Slot1-21_1_3782.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample17	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 15	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	22-17_Slot1-22_1_3783.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample43	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 16	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	23-43_Slot1-23_1_3784.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample4	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 17	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	24-4_Slot1-24_1_3785.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample53	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 18	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	25-53_Slot1-25_1_3786.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample1	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 19	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	26-1_Slot1-26_1_3787.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
wheat_root_sample9	Triticum aestivum	root	not available	normal	seedling development stage	Kazanskaya Yubileinaya	hydroponic distilled water, 4 d, 22C, 12h light/dark, 150 umol m-2 s-1	not available	tissue	study sample	not available	1	run 20	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Nitrosyl;AC=UNIMOD:275;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	27-9_Slot1-27_1_3788.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
