source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[genetic modification]	characteristics[genotype]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[dose]	factor value[sampling time]	factor value[genotype]
INS1E_DNMT3A_S7A_R1	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A S7A mutant overexpression	not applicable	not applicable	1	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A S7A mutant overexpression
INS1E_DNMT3A_S7A_R2	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A S7A mutant overexpression	not applicable	not applicable	2	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A S7A mutant overexpression
INS1E_DNMT3A_S7A_R3	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A S7A mutant overexpression	not applicable	not applicable	3	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aSA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A S7A mutant overexpression
INS1E_DNMT3A_WT_R1	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A wild-type overexpression	not applicable	not applicable	1	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A wild-type overexpression
INS1E_DNMT3A_WT_R2	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A wild-type overexpression	not applicable	not applicable	2	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_2_150418160937	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_2_150418160937.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A wild-type overexpression
INS1E_DNMT3A_WT_R3	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	overexpression	DNMT3A wild-type overexpression	not applicable	not applicable	3	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3awt_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	DNMT3A wild-type overexpression
INS1E_DNMT3A_control_R1	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	not applicable	wild type	not applicable	not applicable	1	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	wild type
INS1E_DNMT3A_control_R2	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	not applicable	wild type	not applicable	not applicable	2	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	wild type
INS1E_DNMT3A_control_R3	Rattus norvegicus	islet of Langerhans	INS-1E cell	CVCL_0351	INS-1E	type B pancreatic cell	Rat Insulinoma	cell line	adult	male	not available	Roswell Park Memorial Institute 1640 Medium	not available	not applicable	not applicable	not applicable	not applicable	not applicable	wild type	not applicable	not applicable	3	run_20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	proteome-INS-1E-DNMT3A	1	1	20140404_EXQ00_FrSa_SA_Ins1e_Dnmt3aNT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not applicable	not applicable	wild type
Min6_DrugSet1_HighGlucose_10min_8BrcGMP_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20131128_EXQ3_FrSa_SA_Min6_35	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable
