source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
121126_OV3_P2_KG_SY_CID_TiO_ptpBTry_Bio2_6b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_CID_TiO_ptpBTry_Bio2_6b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_CID_TiO_ptpBTry_Bio2_6b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_CID_TiO_ptpBTry_Bio2_6b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130310_OV2_P6_CH_SY_HCD_TiO_ptpBTryBio4_3415a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130310_OV2_P6_CH_SY_HCD_TiO_ptpBTryBio4_3415a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130310_OV2_P6_CH_SY_HCD_TiO_ptpBTryBio4_3415a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130310_OV2_P6_CH_SY_HCD_TiO_ptpBTryBio4_3415a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130309_OV2_P6_CH_SY_ptpBTryBio4_collected_09	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	9	130309_OV2_P6_CH_SY_ptpBTryBio4_collected_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130309_OV2_P6_CH_SY_ptpBTryBio4_collected_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130309_OV2_P6_CH_SY_ptpBTryBio4_collected_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_CID_TiO_WTBio4_12b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_12b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_12b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_CID_TiO_WTBio4_12b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_5a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_5a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_5a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_5a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121129_OV3_P2_KG_SY_ptpBTryBio1_collected_11	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	11	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121129_OV3_P2_KG_SY_ptpBTryBio1_collected_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121203_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_16a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121203_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_16a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121203_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_16a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121203_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_16a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_2831ab	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_2831ab	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_2831ab.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_2831ab.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130204_OV2_P6_CH_SY_WTBio4_collected_17	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	17	130204_OV2_P6_CH_SY_WTBio4_collected_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130204_OV2_P6_CH_SY_WTBio4_collected_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130204_OV2_P6_CH_SY_WTBio4_collected_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130410_OV2_P6_CH_SY_WTBio3_collected_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	130410_OV2_P6_CH_SY_WTBio3_collected_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130410_OV2_P6_CH_SY_WTBio3_collected_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130410_OV2_P6_CH_SY_WTBio3_collected_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
