source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150929_QE5_UPLC10_RJC_SA_Plaque1_01	20150929_QE5_UPLC10_RJC_SA_Plaque1_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque2_01	20150929_QE5_UPLC10_RJC_SA_Plaque2_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque3_01	20150929_QE5_UPLC10_RJC_SA_Plaque3_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque3_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque4_01	20150929_QE5_UPLC10_RJC_SA_Plaque4_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque4_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque5_01	20150929_QE5_UPLC10_RJC_SA_Plaque5_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque5_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque5_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque6_01	20150929_QE5_UPLC10_RJC_SA_Plaque6_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque6_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque6_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20150929_QE5_UPLC10_RJC_SA_Plaque7_01	20150929_QE5_UPLC10_RJC_SA_Plaque7_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20150929_QE5_UPLC10_RJC_SA_Plaque7_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20150929_QE5_UPLC10_RJC_SA_Plaque7_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20160531_QE5_nLC14_RJC_COLLAB_GeoG_1000_01	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1000_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1000_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1000_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20160531_QE5_nLC14_RJC_COLLAB_GeoG_1001_01	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1001_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1001_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1001_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20160531_QE5_nLC14_RJC_COLLAB_GeoG_1002_01	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1002_01	Homo sapiens	Dental plaque	not applicable	not available	Quantitative_metaproteomics_of_medieval_dental_calculus_reveals_individual_oral_health_status	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1002_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20160531_QE5_nLC14_RJC_COLLAB_GeoG_1002_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
