source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[genotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
20171102_Nathan_Wt-Ad-AdMe_AD1	Mus musculus	Brain	Alzheimer disease	1	20171102_Nathan_Wt-Ad-AdMe_AD1	20171102_Nathan_Wt-Ad-AdMe_AD1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_AD1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AD
20171102_Nathan_Wt-Ad-AdMe_AD2	Mus musculus	Brain	Alzheimer disease	2	20171102_Nathan_Wt-Ad-AdMe_AD2	20171102_Nathan_Wt-Ad-AdMe_AD2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_AD2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AD
20171102_Nathan_Wt-Ad-AdMe_AD3	Mus musculus	Brain	Alzheimer disease	3	20171102_Nathan_Wt-Ad-AdMe_AD3	20171102_Nathan_Wt-Ad-AdMe_AD3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_AD3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AD
20171102_Nathan_Wt-Ad-AdMe_AD4	Mus musculus	Brain	Alzheimer disease	4	20171102_Nathan_Wt-Ad-AdMe_AD4	20171102_Nathan_Wt-Ad-AdMe_AD4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_AD4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AD
20171102_Nathan_Wt-Ad-AdMe_AD5	Mus musculus	Brain	Alzheimer disease	5	20171102_Nathan_Wt-Ad-AdMe_AD5	20171102_Nathan_Wt-Ad-AdMe_AD5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_AD5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AD
20171102_Nathan_Wt-Ad-AdMe_ADMe1	Mus musculus	Brain	Alzheimer disease	1	20171102_Nathan_Wt-Ad-AdMe_ADMe1	20171102_Nathan_Wt-Ad-AdMe_ADMe1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_ADMe1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	ADMe
20171102_Nathan_Wt-Ad-AdMe_ADMe2	Mus musculus	Brain	Alzheimer disease	2	20171102_Nathan_Wt-Ad-AdMe_ADMe2	20171102_Nathan_Wt-Ad-AdMe_ADMe2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_ADMe2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	ADMe
20171102_Nathan_Wt-Ad-AdMe_ADMe3	Mus musculus	Brain	Alzheimer disease	3	20171102_Nathan_Wt-Ad-AdMe_ADMe3	20171102_Nathan_Wt-Ad-AdMe_ADMe3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_ADMe3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	ADMe
20171102_Nathan_Wt-Ad-AdMe_ADMe4	Mus musculus	Brain	Alzheimer disease	4	20171102_Nathan_Wt-Ad-AdMe_ADMe4	20171102_Nathan_Wt-Ad-AdMe_ADMe4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_ADMe4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	ADMe
20171102_Nathan_Wt-Ad-AdMe_ADMe5	Mus musculus	Brain	Alzheimer disease	5	20171102_Nathan_Wt-Ad-AdMe_ADMe5	20171102_Nathan_Wt-Ad-AdMe_ADMe5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20171102_Nathan_Wt-Ad-AdMe_ADMe5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	ADMe
