source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20180525_TH_B_cellu_WT_0_01	20180525_TH_B_cellu_WT_0_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_cellu_WT_0_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_cellu_WT_0_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_cellu_WT_0_02	20180525_TH_B_cellu_WT_0_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_cellu_WT_0_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_cellu_WT_0_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_cellu_WT_2_01	20180525_TH_B_cellu_WT_2_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_cellu_WT_2_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_cellu_WT_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_cellu_WT_2_02	20180525_TH_B_cellu_WT_2_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_cellu_WT_2_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_cellu_WT_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_00844_0_01	20180525_TH_B_tetha_00844_0_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_00844_0_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_00844_0_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_00844_0_02	20180525_TH_B_tetha_00844_0_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_00844_0_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_00844_0_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_00844_2_01	20180525_TH_B_tetha_00844_2_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_00844_2_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_00844_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_00844_2_02	20180525_TH_B_tetha_00844_2_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_00844_2_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_00844_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_WT_0_01	20180525_TH_B_tetha_WT_0_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_WT_0_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_WT_0_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_WT_0_02	20180525_TH_B_tetha_WT_0_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_WT_0_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_WT_0_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_WT_2_01	20180525_TH_B_tetha_WT_2_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_WT_2_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_WT_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180525_TH_B_tetha_WT_2_02	20180525_TH_B_tetha_WT_2_02	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180525_TH_B_tetha_WT_2_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180525_TH_B_tetha_WT_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180621_TH_B_tetha_00844_01	20180621_TH_B_tetha_00844_01	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180621_TH_B_tetha_00844_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180621_TH_B_tetha_00844_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20180621_TH_B_tetha_00844_02_20180624100934	20180621_TH_B_tetha_00844_02_20180624100934	Bacteroides cellulosilyticus	Cell culture	not applicable	not available	An_endo-acting_galactanase_with_a_type_II_signal_peptide_confers_keystone_status_to_arabinogalactan_degrading_bacteria_of_the_human_gut_microbiota	Cell culture	Cell culture	not available	not available	not available	not available	1	20180621_TH_B_tetha_00844_02_20180624100934	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180621_TH_B_tetha_00844_02_20180624100934.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
