source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[culture medium]	characteristics[material type]	characteristics[enrichment process]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[enrichment process]
MDA-MB-231_TOTAL_rep1	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-22T23:34:30	1	1	Total_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_TOTAL_rep1	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-23T03:58:15	1	2	Total_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_TOTAL_rep2	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	2	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-28T18:22:38	1	1	Total_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_TOTAL_rep2	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	2	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-28T21:18:32	1	2	Total_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_TOTAL_rep3	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	3	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-28T19:50:35	1	1	Total_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_TOTAL_rep3	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	not applicable	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2025-07-28T22:46:31	1	2	Total_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
MDA-MB-231_HEAT_rep1	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	heat shock treatment	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2023-12-21T16:59:31	1	1	Heat1_TR1_HighSens.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	heat shock treatment
MDA-MB-231_HEAT_rep1	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	heat shock treatment	not pooled	1	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2023-12-21T18:34:46	1	2	Heat1_TR2_HighSens.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	heat shock treatment
MDA-MB-231_HEAT_rep2	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	heat shock treatment	not pooled	2	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2023-12-21T20:09:55	1	1	Heat2_TR1_HighSens.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	heat shock treatment
MDA-MB-231_HEAT_rep2	Homo sapiens	breast	pleural effusion	epithelial cell	breast adenocarcinoma	MDA-MB-231 cell	CVCL_0062	MDA-MB-231	adult	51Y	female	European ancestry	not available	Dulbecco's Modified Eagle Medium	cell line	heat shock treatment	not pooled	2	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10 ppm	0.02 Da	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1200m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2023-12-21T21:45:07	1	2	Heat2_TR2_HighSens.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	heat shock treatment
