source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[timepoint]	characteristics[passage number]	characteristics[ancestry category]	characteristics[tissue type]	characteristics[experiment_or_group_id]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism]	factor value[organism part]	factor value[cell type]	factor value[disease]	factor value[developmental stage]	factor value[cell line]
BE2CD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002181_DAWA004_timsTOFultra_S1-F3_1_4110.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	1	1Day	1		cell line	BE2CD1	BE2CD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002181_DAWA004_timsTOFultra_S1-F3_1_4110.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002181_DAWA004_timsTOFultra_S1-F3_1_4110.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
BE2CD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002175_DAWA004_timsTOFultra_S1-G3_1_4104.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	2	1Day	1		cell line	BE2CD1	BE2CD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002175_DAWA004_timsTOFultra_S1-G3_1_4104.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002175_DAWA004_timsTOFultra_S1-G3_1_4104.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
BE2CD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002193_DAWA004_timsTOFultra_S1-H3_1_4122.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	3	1Day	1		cell line	BE2CD1	BE2CD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002193_DAWA004_timsTOFultra_S1-H3_1_4122.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002193_DAWA004_timsTOFultra_S1-H3_1_4122.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
BE2CMetD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002174_DAWA004_timsTOFultra_S1-C3_1_4103.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	1	1Day	1		cell line	BE2CMetD1	BE2CMetD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002174_DAWA004_timsTOFultra_S1-C3_1_4103.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CMetD1_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002174_DAWA004_timsTOFultra_S1-C3_1_4103.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
BE2CMetD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002179_DAWA004_timsTOFultra_S1-D3_1_4108.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	2	1Day	1		cell line	BE2CMetD1	BE2CMetD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002179_DAWA004_timsTOFultra_S1-D3_1_4108.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CMetD1_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002179_DAWA004_timsTOFultra_S1-D3_1_4108.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
BE2CMetD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002173_DAWA004_timsTOFultra_S1-E3_1_4102.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	BE(2)-C cell	not available	not available	not available	3	1Day	1		cell line	BE2CMetD1	BE2CMetD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002173_DAWA004_timsTOFultra_S1-E3_1_4102.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	BE2CMetD1_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002173_DAWA004_timsTOFultra_S1-E3_1_4102.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0001915
SY5Y_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002168_DAWA004_timsTOFultra_S1-D4_1_4097.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	SH-SY5Y cell	not available	not available	not available	1	1Day	1		cell line	SY5Y	SY5Y_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002168_DAWA004_timsTOFultra_S1-D4_1_4097.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	SY5Y_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002168_DAWA004_timsTOFultra_S1-D4_1_4097.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0009015
SY5Y_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002172_DAWA004_timsTOFultra_S1-E4_1_4101.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	SH-SY5Y cell	not available	not available	not available	2	1Day	1		cell line	SY5Y	SY5Y_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002172_DAWA004_timsTOFultra_S1-E4_1_4101.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	SY5Y_Cellpellets_F1_R2_T1_DIA001-EvoSepWZ40SPD_002172_DAWA004_timsTOFultra_S1-E4_1_4101.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0009015
SY5Y_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002177_DAWA004_timsTOFultra_S1-F4_1_4106.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	SH-SY5Y cell	not available	not available	not available	3	1Day	1		cell line	SY5Y	SY5Y_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002177_DAWA004_timsTOFultra_S1-F4_1_4106.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	SY5Y_Cellpellets_F1_R3_T1_DIA001-EvoSepWZ40SPD_002177_DAWA004_timsTOFultra_S1-F4_1_4106.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0009015
SY5YMet_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002176_DAWA004_timsTOFultra_S1-A4_1_4105.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	SH-SY5Y cell	not available	not available	not available	1	1Day	1		cell line	SY5YMet	SY5YMet_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002176_DAWA004_timsTOFultra_S1-A4_1_4105.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	SY5YMet_Cellpellets_F1_R1_T1_DIA001-EvoSepWZ40SPD_002176_DAWA004_timsTOFultra_S1-A4_1_4105.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not available	not available	not available	not available	CLO:0009015
