source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[immunopeptidome enrichment method]	characteristics[synthetic peptide]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min charge]	comment[ms max charge]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
K562_HLA-A0201-TST_control_4h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and a control epitope mRNA (Methods describe gp100 YLEPGPVTA as the negative control), harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_control_4h_TST_el35	proteomic profiling by mass spectrometry	AE3_el35_1_1_3331.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_control_4h_TST
K562_HLA-A0201-TST_control_4h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and a control epitope mRNA (Methods describe gp100 YLEPGPVTA as the negative control), harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_control_4h_TST_el45	proteomic profiling by mass spectrometry	AE3_el45_1_1_3339.d.zip	2	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_control_4h_TST
K562_HLA-A0201-TST_control_8h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and a control epitope mRNA (Methods describe gp100 YLEPGPVTA as the negative control), harvested 8 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_control_8h_TST_el35	proteomic profiling by mass spectrometry	AE4_el35_1_1_3333.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_control_8h_TST
K562_HLA-A0201-TST_control_8h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and a control epitope mRNA (Methods describe gp100 YLEPGPVTA as the negative control), harvested 8 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_control_8h_TST_el45	proteomic profiling by mass spectrometry	AE4_el45_1_1_3341.d.zip	2	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_control_8h_TST
K562_HLA-A0201-TST_p53_4h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and p53 LLGRNSFEV epitope mRNA, harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_p53_4h_TST_el35	proteomic profiling by mass spectrometry	AE1_el35_1_1_3327.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_p53_4h_TST
K562_HLA-A0201-TST_p53_4h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and p53 LLGRNSFEV epitope mRNA, harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_p53_4h_TST_el45	proteomic profiling by mass spectrometry	AE1_el45_1_1_3335.d.zip	2	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_p53_4h_TST
K562_HLA-A0201-TST_p53_8h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and p53 LLGRNSFEV epitope mRNA, harvested 8 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_p53_8h_TST_el35	proteomic profiling by mass spectrometry	AE2_el35_1_1_3329.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_p53_8h_TST
K562_HLA-A0201-TST_p53_8h_TST	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and p53 LLGRNSFEV epitope mRNA, harvested 8 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	StrepTactin affinity capture of Twin-Strep-Tagged HLA-A*02:01	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_p53_8h_TST_el45	proteomic profiling by mass spectrometry	AE2_el45_1_1_3337.d.zip	2	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_p53_8h_TST
K562_HLA-A0201-TST_control_4h_W6-32	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and a control epitope mRNA (Methods describe gp100 YLEPGPVTA as the negative control), harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	W6/32 (pan-HLA class I)	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_control_4h_W6-32_R1	proteomic profiling by mass spectrometry	Arthur7_no_p53_1_1_3359.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_control_4h_W6-32
K562_HLA-A0201-TST_p53_4h_W6-32	Homo sapiens	not applicable	not available	cell line	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	53Y	female	not applicable	adult	1	K-562	CVCL_0004	K-562	not available	not available	co-electroporation with HLA-A*02:01-TST mRNA and p53 LLGRNSFEV epitope mRNA, harvested 4 h after electroporation	MHC class I protein complex	HLA-A*02:01	not applicable	W6/32 (pan-HLA class I)	immunoaffinity purification	not applicable	K562_HLA-A0201-TST_p53_4h_W6-32_R1	proteomic profiling by mass spectrometry	Arthur5_p53_4h_1_1_3355.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=CID;AC=MS:1000133	10 eV	20 ppm	20 ppm	100m/z-1700m/z	1	6	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	K562_HLA-A0201-TST_p53_4h_W6-32
