source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20141014_fract7_dyn_5ul_E7_01_586.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20141014_fract7_dyn_5ul_E7_01_586.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20141014_fract7_dyn_5ul_E7_01_586.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20141014_fract7_dyn_5ul_E7_01_586.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
05pmolUPS2_500ngY_90min1Hz1pr_BC2_01_339.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	05pmolUPS2_500ngY_90min1Hz1pr_BC2_01_339.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	05pmolUPS2_500ngY_90min1Hz1pr_BC2_01_339.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/05pmolUPS2_500ngY_90min1Hz1pr_BC2_01_339.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20140925_fract23_dyn_5ul_H7_01_458.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20140925_fract23_dyn_5ul_H7_01_458.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140925_fract23_dyn_5ul_H7_01_458.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20140925_fract23_dyn_5ul_H7_01_458.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20150402_CerP14_Frac10_top_opt_B10_01_1819.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20150402_CerP14_Frac10_top_opt_B10_01_1819.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20150402_CerP14_Frac10_top_opt_B10_01_1819.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20150402_CerP14_Frac10_top_opt_B10_01_1819.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20150226_Hela_Top_opt_A3_01_1595.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20150226_Hela_Top_opt_A3_01_1595.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20150226_Hela_Top_opt_A3_01_1595.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20150226_Hela_Top_opt_A3_01_1595.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20150402_CerP14_Frac21_top_opt_C9_01_1830.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20150402_CerP14_Frac21_top_opt_C9_01_1830.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20150402_CerP14_Frac21_top_opt_C9_01_1830.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20150402_CerP14_Frac21_top_opt_C9_01_1830.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20140918_fract18_dyn_5ul_F2_01_386.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20140918_fract18_dyn_5ul_F2_01_386.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140918_fract18_dyn_5ul_F2_01_386.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20140918_fract18_dyn_5ul_F2_01_386.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20141014_fract14_dyn_5ul_F6_01_593.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20141014_fract14_dyn_5ul_F6_01_593.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20141014_fract14_dyn_5ul_F6_01_593.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20141014_fract14_dyn_5ul_F6_01_593.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20140918_fract16_dyn_5ul_E8_01_384.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20140918_fract16_dyn_5ul_E8_01_384.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140918_fract16_dyn_5ul_E8_01_384.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20140918_fract16_dyn_5ul_E8_01_384.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
20140918_fract13_dyn_5ul_E5_01_381.d.zip	saccharomyces cerevisiae	liver	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	20140918_fract13_dyn_5ul_E5_01_381.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics instrument model;AC=MS:1000122	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.07 Da	0.07 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140918_fract13_dyn_5ul_E5_01_381.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001592/20140918_fract13_dyn_5ul_E5_01_381.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
