source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[fraction name]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[sampling part]	comment[experiment number]	comment[sample amount]	comment[sample amount unit]	comment[data analysis number]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Blank_S	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_labblank_2079	proteomic profiling by mass spectrometry	1	1	Amicon filtration	Supernatant of EDTA decalcification	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	1	not applicable	not applicable	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_labblank_2079.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Blank_P	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_labblank_2080	proteomic profiling by mass spectrometry	1	2	Amicon filtration	Pellet of EDTA decalcification	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	1	not applicable	not applicable	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_labblank_2080.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Blank_U	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1	20230501_EXPL8_nLC11_GT_collab_77min_DDA_Blank_2305	proteomic profiling by mass spectrometry	1	3	Digestion-free	Digestion-free	NT=label free sample;AC=MS:1002038	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	2	not applicable	not applicable	1	20230501_EXPL8_nLC11_GT_collab_77min_DDA_Blank_2305.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
GMNH0031_S	Panthera spelaea	bone	not applicable	not available	normal	GMNH0031	0031	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_bone_2081	proteomic profiling by mass spectrometry	1	1	Amicon filtration	Supernatant of EDTA decalcification	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	1	20	mg	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_bone_2081.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
GMNH0031_P	Panthera spelaea	bone	not applicable	not available	normal	GMNH0031	0031	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_bone_2082	proteomic profiling by mass spectrometry	1	2	Amicon filtration	Pellet of EDTA decalcification	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	1	20	mg	1	20220127_EXPL2_nLC3_MEM_collab_77min_DDA_Ancient_bone_2082.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
GMNH0031_U	Panthera spelaea	bone	not applicable	not available	normal	GMNH0031	0031	20230501_EXPL8_nLC11_GT_collab_77min_DDA_2307	proteomic profiling by mass spectrometry	1	3	Digestion-free	Digestion-free	NT=label free sample;AC=MS:1002038	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	2	5.5	mg	1	20230501_EXPL8_nLC11_GT_collab_77min_DDA_2307.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
NHMD-CN-887_Trypsin	Panthera leo	bone	not applicable	not available	normal	NHMD-CN-887	887	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2196	proteomic profiling by mass spectrometry	1	4	In-solution heating	Supernatant of ambic heating	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	3	9.9	mg	1	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2196.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
NHMD-CN-887_Elastase	Panthera leo	bone	not applicable	not available	normal	NHMD-CN-887	887	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2197	proteomic profiling by mass spectrometry	1	4	In-solution heating	Supernatant of ambic heating	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	3	9.9	mg	1	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2197.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
NHMD-CN-1021_Trypsin	Panthera tigris	bone	not applicable	not available	normal	NHMD-CN-1021	1021	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2198	proteomic profiling by mass spectrometry	1	4	In-solution heating	Supernatant of ambic heating	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	3	9.5	mg	1	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2198.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
NHMD-CN-1021_Elastase	Panthera tigris	bone	not applicable	not available	normal	NHMD-CN-1021	1021	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2199	proteomic profiling by mass spectrometry	1	4	In-solution heating	Supernatant of ambic heating	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028	bone	3	9.5	mg	1	20230124_EXPL5_nLC3_GT_collab_77min_DDA_2199.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
