source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample type]
2021-0406-hemol-zymogelacas-C1	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-C1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	caseinase band
2021-0406-hemol-zymogelacas-C2	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-C2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	caseinase band
2021-0406-hemol-zymogelacas-C3	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-C3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	caseinase band
2021-0406-hemol-zymogelacas-G1	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-G1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-G1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	gelatinase band
2021-0406-hemol-zymogelacas-G2	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-G2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	gelatinase band
2021-0406-hemol-zymogelacas-G3	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-G3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-G3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	gelatinase band
2021-0406-hemol-zymogelacas-G4	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	not available	1	2021-0406-hemol-zymogelacas-G4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-0406-hemol-zymogelacas-G4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	gelatinase band
2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca1	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	Canton-S	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	Canton-S; Ca1
2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca2	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	Canton-S	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	Canton-S; Ca2
2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca3	Drosophila melanogaster	hemolymph	normal	not applicable	organism part	larva	Canton-S	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	2021-2810-jlg-hemoNASRcanton-Ag-2806-Ca3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	Canton-S; Ca3
