source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[project name]	characteristics[host organism]	characteristics[host body site]	characteristics[geographic location]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[elution conditions]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[biological replicate]
PRF_Q_2019_E_MART_95_47597	PRF_Q_2019_E_MART_95_47597	human gut metagenome	feces	fecal material	human gut microbiome	Ostrowski_Microbes_Xanthan	Homo sapiens	colon	United States of America	1	not pooled	study sample	PRF_Q_2019_E_MART_95_47597	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	10 ppm	0.2 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=orbitrap;AC=MS:1000484	2-90% ACN (0.1% FA) over 145 min at 300 nl/min	1	PRF_Q_2019_E_MART_95_47597.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	1
PRF_Q_2019_E_MART_97_47602	PRF_Q_2019_E_MART_97_47602	human gut metagenome	feces	fecal material	human gut microbiome	Ostrowski_Microbes_Xanthan	Homo sapiens	colon	United States of America	2	not pooled	study sample	PRF_Q_2019_E_MART_97_47602	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	10 ppm	0.2 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=orbitrap;AC=MS:1000484	2-90% ACN (0.1% FA) over 145 min at 300 nl/min	1	PRF_Q_2019_E_MART_97_47602.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2
PRF_Q_2019_E_MART_131_47849	PRF_Q_2019_E_MART_131_47849	human gut metagenome	feces	fecal material	human gut microbiome	Ostrowski_Microbes_Xanthan	Homo sapiens	colon	United States of America	3	not pooled	study sample	PRF_Q_2019_E_MART_131_47849	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	10 ppm	0.2 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=orbitrap;AC=MS:1000484	2-90% ACN (0.1% FA) over 145 min at 300 nl/min	1	PRF_Q_2019_E_MART_131_47849.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	3
