source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20220826-2027_EXP4_1003612_PH_NKH_20220824_wbap_OMV_20220826185430	Salmonella enterica	Not available	1	20220826-2027_EXP4_1003612_PH_NKH_20220824_wbap_OMV_20220826185430	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-2027_EXP4_1003612_PH_NKH_20220824_wbap_OMV_20220826185430.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220826-1358_EXP4_1003608_PH_NKH_20220824_ToIR_OMV_20220826122510	Salmonella enterica	Not available	1	20220826-1358_EXP4_1003608_PH_NKH_20220824_ToIR_OMV_20220826122510	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-1358_EXP4_1003608_PH_NKH_20220824_ToIR_OMV_20220826122510.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220827-0602_EXP4_1003618_PH_NKH_20220824_wzy_OMV3	Salmonella enterica	Not available	1	20220827-0602_EXP4_1003618_PH_NKH_20220824_wzy_OMV3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220827-0602_EXP4_1003618_PH_NKH_20220824_wzy_OMV3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220827-0256_EXP4_1003616_PH_NKH_20220824_wzy_OMV_20220827012309	Salmonella enterica	Not available	1	20220827-0256_EXP4_1003616_PH_NKH_20220824_wzy_OMV_20220827012309	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220827-0256_EXP4_1003616_PH_NKH_20220824_wzy_OMV_20220827012309.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220827-0429_EXP4_1003617_PH_NKH_20220824_wzy_OMV2	Salmonella enterica	Not available	1	20220827-0429_EXP4_1003617_PH_NKH_20220824_wzy_OMV2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220827-0429_EXP4_1003617_PH_NKH_20220824_wzy_OMV2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220826-2335_EXP4_1003614_PH_NKH_20220824_wbap_OMV3	Salmonella enterica	Not available	1	20220826-2335_EXP4_1003614_PH_NKH_20220824_wbap_OMV3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-2335_EXP4_1003614_PH_NKH_20220824_wbap_OMV3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220826-1706_EXP4_1003610_PH_NKH_20220824_ToIR_OMV3	Salmonella enterica	Not available	1	20220826-1706_EXP4_1003610_PH_NKH_20220824_ToIR_OMV3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-1706_EXP4_1003610_PH_NKH_20220824_ToIR_OMV3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220826-2201_EXP4_1003613_PH_NKH_20220824_wbap_OMV2	Salmonella enterica	Not available	1	20220826-2201_EXP4_1003613_PH_NKH_20220824_wbap_OMV2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-2201_EXP4_1003613_PH_NKH_20220824_wbap_OMV2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
20220826-1532_EXP4_1003609_PH_NKH_20220824_ToIR_OMV2	Salmonella enterica	Not available	1	20220826-1532_EXP4_1003609_PH_NKH_20220824_ToIR_OMV2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20220826-1532_EXP4_1003609_PH_NKH_20220824_ToIR_OMV2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
