source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
2781.d.zip	thermus thermophilus	not available	not applicable	not available	1	2781.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2781.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2781.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2853.d.zip	thermus thermophilus	not available	not applicable	not available	1	2853.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2853.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2853.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2785.d.zip	thermus thermophilus	not available	not applicable	not available	1	2785.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2785.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2785.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2865.d.zip	thermus thermophilus	not available	not applicable	not available	1	2865.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2865.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2865.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2782.d.zip	thermus thermophilus	not available	not applicable	not available	1	2782.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2782.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2782.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2792.d.zip	thermus thermophilus	not available	not applicable	not available	1	2792.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2792.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2792.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2760.d.zip	thermus thermophilus	not available	not applicable	not available	1	2760.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2760.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2760.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2852.d.zip	thermus thermophilus	not available	not applicable	not available	1	2852.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2852.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2852.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2808.d.zip	thermus thermophilus	not available	not applicable	not available	1	2808.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2808.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2808.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2864.d.zip	thermus thermophilus	not available	not applicable	not available	1	2864.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=bruker daltonics microtof series;AC=MS:1001536	NT=microtof-q ii;AC=MS:1000704	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.05 Da	0.05 Da	1	1	2864.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000184/2864.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
