source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Iso_JGI_Aug_E2D_10_01_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2D_10_01_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2D_10_01_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2D_10_01_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2D_10_05_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2D_10_05_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2D_10_05_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2D_10_05_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2D_10_07_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2D_10_07_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2D_10_07_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2D_10_07_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2D_10_11_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2D_10_11_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2D_10_11_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2D_10_11_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2M_03_07_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2M_03_07_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2M_03_07_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2M_03_07_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2M_03_10_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2M_03_10_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2M_03_10_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2M_03_10_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E2M_03_11_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E2M_03_11_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E2M_03_11_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E2M_03_11_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_01_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_01_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_01_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_01_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_04_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_04_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_04_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_04_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_07_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_07_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_07_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_07_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_09_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_09_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_09_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_09_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_10_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_10_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_10_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_10_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_E3D_13_11_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_E3D_13_11_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_E3D_13_11_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_E3D_13_11_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_P2M_11_01_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_P2M_11_01_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_P2M_11_01_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_P2M_11_01_offline_27May17_Precious_16-11-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Iso_JGI_Aug_P2M_11_09_offline_27May17_Precious_16-11-43	Iso_JGI_Aug_P2M_11_09_offline_27May17_Precious_16-11-43	metagenome	not available	not applicable	not available	IsoGenie_Abisko_Stordalenmire_LC-MSMS	not available	not available	not available	not available	not available	not available	1	Iso_JGI_Aug_P2M_11_09_offline_27May17_Precious_16-11-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Iso_JGI_Aug_P2M_11_09_offline_27May17_Precious_16-11-43.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
