source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
081208_VH_PLKinh2b_F7-11T	Homo sapiens	Permanent cell line cell	not applicable	not available	1	081208_VH_PLKinh2b_F7-11T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	081208_VH_PLKinh2b_F7-11T.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/081208_VH_PLKinh2b_F7-11T.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
080918_PLKinh4_F33-38T	Homo sapiens	Permanent cell line cell	not applicable	not available	1	080918_PLKinh4_F33-38T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	080918_PLKinh4_F33-38T.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/080918_PLKinh4_F33-38T.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
090224_VH_nR2_F22	Homo sapiens	Permanent cell line cell	not applicable	not available	1	090224_VH_nR2_F22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	090224_VH_nR2_F22.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/090224_VH_nR2_F22.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
080918_PLKinh4_F9	Homo sapiens	Permanent cell line cell	not applicable	not available	1	080918_PLKinh4_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	080918_PLKinh4_F9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/080918_PLKinh4_F9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
081208_VH_PLKinh30_F6	Homo sapiens	Permanent cell line cell	not applicable	not available	1	081208_VH_PLKinh30_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	081208_VH_PLKinh30_F6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/081208_VH_PLKinh30_F6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
090224_VH_nR2_F32	Homo sapiens	Permanent cell line cell	not applicable	not available	1	090224_VH_nR2_F32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	090224_VH_nR2_F32.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/090224_VH_nR2_F32.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
080911_VH_PLKinh2_F29	Homo sapiens	Permanent cell line cell	not applicable	not available	1	080911_VH_PLKinh2_F29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	080911_VH_PLKinh2_F29.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/080911_VH_PLKinh2_F29.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
090224_VH_nR2_F28T	Homo sapiens	Permanent cell line cell	not applicable	not available	1	090224_VH_nR2_F28T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	090224_VH_nR2_F28T.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/090224_VH_nR2_F28T.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
080918_PLKinh4_F5	Homo sapiens	Permanent cell line cell	not applicable	not available	1	080918_PLKinh4_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	080918_PLKinh4_F5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/080918_PLKinh4_F5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
081208_VH_PLKinh2b_F12	Homo sapiens	Permanent cell line cell	not applicable	not available	1	081208_VH_PLKinh2b_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	081208_VH_PLKinh2b_F12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/081208_VH_PLKinh2b_F12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
080918_PLKinh4_F23T	Homo sapiens	Permanent cell line cell	not applicable	not available	1	080918_PLKinh4_F23T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	080918_PLKinh4_F23T.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/080918_PLKinh4_F23T.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
081208_VH_PLKinh2b_F16	Homo sapiens	Permanent cell line cell	not applicable	not available	1	081208_VH_PLKinh2b_F16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	081208_VH_PLKinh2b_F16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/04/PXD000222/081208_VH_PLKinh2b_F16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
