source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[compound]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
dia_ctrl_immortalized_astrocyte_1	Homo sapiens	not available	astrocyte	not available	not applicable	dia_ctrl_immortalized_astrocyte	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	1	20170927_LU50_Immortalized_DIA_CTRL_R2.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_ctrl_immortalized_astrocyte
dia_ctrl_immortalized_astrocyte_2	Homo sapiens	not available	astrocyte	not available	not applicable	dia_ctrl_immortalized_astrocyte	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	1	20170927_LU50_Immortalized_DIA_CTRL_R3.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_ctrl_immortalized_astrocyte
dia_il1beta_immortalized_astrocyte_1	Homo sapiens	not available	astrocyte	not available	not applicable	dia_il1beta_immortalized_astrocyte	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	2	20170927_LU50_Immortalized_DIA_IL1BETA_R1.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_il1beta_immortalized_astrocyte
dia_il1beta_immortalized_astrocyte_2	Homo sapiens	not available	astrocyte	not available	not applicable	dia_il1beta_immortalized_astrocyte	2	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	2	20170927_LU50_Immortalized_DIA_IL1BETA_R2.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_il1beta_immortalized_astrocyte
dia_il1beta_immortalized_astrocyte_3	Homo sapiens	not available	astrocyte	not available	not applicable	dia_il1beta_immortalized_astrocyte	3	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	2	20170927_LU50_Immortalized_DIA_IL1BETA_R3.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_il1beta_immortalized_astrocyte
dia_lps_immortalized_astrocyte_1	Homo sapiens	not available	astrocyte	not available	lipopolysaccharide	dia_lps_immortalized_astrocyte	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	3	20170927_LU50_Immortalized_DIA_LPS_R1.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_lps_immortalized_astrocyte
dia_lps_immortalized_astrocyte_2	Homo sapiens	not available	astrocyte	not available	lipopolysaccharide	dia_lps_immortalized_astrocyte	2	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	3	20170927_LU50_Immortalized_DIA_LPS_R2.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_lps_immortalized_astrocyte
dia_lps_immortalized_astrocyte_3	Homo sapiens	not available	astrocyte	not available	lipopolysaccharide	dia_lps_immortalized_astrocyte	3	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	3	20170927_LU50_Immortalized_DIA_LPS_R3.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_lps_immortalized_astrocyte
dia_pool_immortalized_astrocyte_1	Homo sapiens	not available	astrocyte	not available	not applicable	dia_pool_immortalized_astrocyte	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	4	20170927_LU50_Immortalized_DIA_POOL_R1.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_pool_immortalized_astrocyte
dia_pool_immortalized_astrocyte_2	Homo sapiens	not available	astrocyte	not available	not applicable	dia_pool_immortalized_astrocyte	2	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	12 ppm	1	4	20170927_LU50_Immortalized_DIA_POOL_R2.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dia_pool_immortalized_astrocyte
