source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment method]	characteristics[sample amount]	characteristics[treatment]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[enrichment method]	factor value[treatment]	factor value[sample amount]
HeLa sample 3 TiO2	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	TiO2	200 ug	not applicable	run 11	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	TiO2	not applicable	200 ug
HeLa sample 4 TiO2	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	4	TiO2	200 ug	not applicable	run 12	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	TiO2	not applicable	200 ug
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	0.1 ug	not applicable	run 13	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.1 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	0.1 ug	not applicable	run 14	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.1 ug
HeLa sample 3 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Fe(III)-IMAC	0.1 ug	not applicable	run 15	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.1 ug
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	0.25 ug	not applicable	run 16	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.25 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	0.25 ug	not applicable	run 17	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.25 ug
HeLa sample 3 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Fe(III)-IMAC	0.25 ug	not applicable	run 18	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.25 ug
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	0.5 ug	not applicable	run 19	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.5 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	0.5 ug	not applicable	run 20	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.5 ug
HeLa sample 3 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Fe(III)-IMAC	0.5 ug	not applicable	run 21	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	0.5 ug
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	1 ug	not applicable	run 22	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	1 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	1 ug	not applicable	run 23	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_1ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	1 ug
HeLa sample 3 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Fe(III)-IMAC	1 ug	not applicable	run 24	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_1ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	1 ug
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	2.5 ug	not applicable	run 25	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	2.5 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	2.5 ug	not applicable	run 26	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	2.5 ug
