source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment method]	characteristics[sample amount]	characteristics[treatment]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sample amount]
Hippocampal neuron biorep 1 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	1	Fe(III)-IMAC	1 ug	none	run 1	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	1 ug
Hippocampal neuron biorep 2 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	2	Fe(III)-IMAC	1 ug	none	run 2	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_1ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	1 ug
Hippocampal neuron biorep 3 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	3	Fe(III)-IMAC	1 ug	none	run 3	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_1ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	1 ug
Hippocampal neuron biorep 4 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	4	Fe(III)-IMAC	1 ug	none	run 4	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_1ug_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	1 ug
Hippocampal neuron biorep 1 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	1	Fe(III)-IMAC	2.5 ug	none	run 5	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_2p5ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	2.5 ug
Hippocampal neuron biorep 2 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	2	Fe(III)-IMAC	2.5 ug	none	run 6	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_2p5ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	2.5 ug
Hippocampal neuron biorep 3 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	3	Fe(III)-IMAC	2.5 ug	none	run 7	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_2p5ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	2.5 ug
Hippocampal neuron biorep 4 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	4	Fe(III)-IMAC	2.5 ug	none	run 8	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_2p5ug_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	2.5 ug
Hippocampal neuron biorep 1 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	1	Fe(III)-IMAC	5 ug	none	run 9	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_5ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	5 ug
Hippocampal neuron biorep 2 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	2	Fe(III)-IMAC	5 ug	none	run 10	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_5ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	5 ug
Hippocampal neuron biorep 3 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	3	Fe(III)-IMAC	5 ug	none	run 11	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_5ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	5 ug
Hippocampal neuron biorep 4 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	4	Fe(III)-IMAC	5 ug	none	run 12	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_5ug_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	5 ug
Hippocampal neuron biorep 1 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	1	Fe(III)-IMAC	10 ug	none	run 13	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_10ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	10 ug
Hippocampal neuron biorep 2 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	2	Fe(III)-IMAC	10 ug	none	run 14	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_10ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	10 ug
Hippocampal neuron biorep 3 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	3	Fe(III)-IMAC	10 ug	none	run 15	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_10ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	10 ug
Hippocampal neuron biorep 4 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	4	Fe(III)-IMAC	10 ug	none	run 16	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_10ug_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	10 ug
Hippocampal neuron biorep 1 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	1	Fe(III)-IMAC	25 ug	none	run 17	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_25ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	25 ug
Hippocampal neuron biorep 2 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	2	Fe(III)-IMAC	25 ug	none	run 18	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_25ug_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	25 ug
Hippocampal neuron biorep 3 none	Rattus norvegicus	hippocampal formation	hippocampal neuron	embryonic day 18	normal	tissue	3	Fe(III)-IMAC	25 ug	none	run 19	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20160321_HP_RP_neuron_25ug_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	none	25 ug
