source name	characteristics[organism]	characteristics[strain or breed]	characteristics[age]	characteristics[sex]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[diet]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file content]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[diet]
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	150609_YSH_LIVER_NCD_2_01.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	150609_YSH_LIVER_NCD_2_02.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	3	150609_YSH_LIVER_NCD_2_03.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	4	150609_YSH_LIVER_NCD_2_04.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	5	150609_YSH_LIVER_NCD_2_05.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	6	150609_YSH_LIVER_NCD_2_06.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	7	150609_YSH_LIVER_NCD_2_07.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	8	150609_YSH_LIVER_NCD_2_08.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	9	150609_YSH_LIVER_NCD_2_09.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
NCD-2	Mus musculus	C57BL/6J	18W	male	liver	normal	not applicable	normal chow diet	1	not available	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	10	150609_YSH_LIVER_NCD_2_10.raw	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.6 Da	0.8 Da	raw file (Thermo .raw)	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal chow diet
