source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]
sample_1	triatoma dimidiata	salivary gland	not applicable	1	normal	tissue	not available	not available	Tdim-y1-2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD008510/Tdim-y1-2.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.5 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_1	triatoma dimidiata	salivary gland	not applicable	1	normal	tissue	not available	not available	Tdim-y1-3.raw	proteomic profiling by mass spectrometry	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD008510/Tdim-y1-3.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.5 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_2	triatoma dimidiata	salivary gland	not applicable	2	normal	tissue	not available	not available	Tdim-y2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD008510/Tdim-y2.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.5 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_2	triatoma dimidiata	salivary gland	not applicable	2	normal	tissue	not available	not available	Tdim-y2-2.raw	proteomic profiling by mass spectrometry	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD008510/Tdim-y2-2.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.5 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
sample_2	triatoma dimidiata	salivary gland	not applicable	2	normal	tissue	not available	not available	Tdim-y2-3.raw	proteomic profiling by mass spectrometry	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD008510/Tdim-y2-3.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.5 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere
