source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[growth phase]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
Akk1813_A_1	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early logarithmic	Akk1813_A_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_A_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Akk1813_A_2	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early logarithmic	Akk1813_A_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_A_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Akk1813_A_3	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early logarithmic	Akk1813_A_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_A_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Akk1813_B_1	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early stationary	Akk1813_B_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_B_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Akk1813_B_2	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early stationary	Akk1813_B_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_B_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Akk1813_B_3	Akkermansia muciniphila	whole organism	not applicable	not applicable	Akk1813	1	early stationary	Akk1813_B_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Akk1813_B_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MucT_A_1	Akkermansia muciniphila	whole organism	not applicable	not applicable	MucT	1	early logarithmic	MucT_A_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MucT_A_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MucT_A_2	Akkermansia muciniphila	whole organism	not applicable	not applicable	MucT	1	early logarithmic	MucT_A_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MucT_A_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MucT_A_3	Akkermansia muciniphila	whole organism	not applicable	not applicable	MucT	1	early logarithmic	MucT_A_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MucT_A_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MucT_B_1	Akkermansia muciniphila	whole organism	not applicable	not applicable	MucT	1	early stationary	MucT_B_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	MucT_B_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
