source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[passage number]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_001	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	xuep_I180726_CCL2_3_0331_001.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_002	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	2	1	xuep_I180726_CCL2_3_0331_002.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_003	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	3	1	xuep_I180726_CCL2_3_0331_003.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_004	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	4	1	xuep_I180726_CCL2_3_0331_004.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_005	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	5	1	xuep_I180726_CCL2_3_0331_005.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_006	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	6	1	xuep_I180726_CCL2_3_0331_006.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_007	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	7	1	xuep_I180726_CCL2_3_0331_007.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_008	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	8	1	xuep_I180726_CCL2_3_0331_008.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_009	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	9	1	xuep_I180726_CCL2_3_0331_009.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa-CCL2-rep1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	endocervical adenocarcinoma	adult	30Y6M	female	African American	not available	cell line	not available	1	run xuep_I180726_CCL2_3_0331_010	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600+;AC=MS:1002584	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Size-exclusion chromatography (SEC);AC=PRIDE:0000557	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	10	1	xuep_I180726_CCL2_3_0331_010.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
