source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[depletion]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[depletion]	factor value[organism part]	factor value[treatment]
cortex sample21	Mus musculus	cerebral cortex	not applicable	21	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample21	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Drug Vehicle
cortex sample22	Mus musculus	cerebral cortex	not applicable	22	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample22	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Drug Vehicle
cortex sample23	Mus musculus	cerebral cortex	not applicable	23	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample23	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Drug Vehicle
cortex sample24	Mus musculus	cerebral cortex	not applicable	24	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample24	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Drug Vehicle
cortex sample25	Mus musculus	cerebral cortex	not applicable	25	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample25	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Drug Vehicle
cortex sample26	Mus musculus	cerebral cortex	not applicable	26	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample26	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Antisense Oligonucleotides
cortex sample27	Mus musculus	cerebral cortex	not applicable	27	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample27	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Antisense Oligonucleotides
cortex sample28	Mus musculus	cerebral cortex	not applicable	28	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample28	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Antisense Oligonucleotides
cortex sample29	Mus musculus	cerebral cortex	not applicable	29	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample29	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Antisense Oligonucleotides
cortex sample30	Mus musculus	cerebral cortex	not applicable	30	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample30	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_10UL_sample30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	cerebral cortex	Antisense Oligonucleotides
