source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
HeLa_UnDNA	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	cell line	HeLa cell	CVCL_0030	HeLa	30Y6M	female	African American	adult stage	1	KU019_UHRF1_UN_Joe	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	not available	1	1	KU019_UHRF1_UN_Joe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	unmethylated DNA
HeLa_HeDNA	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	cell line	HeLa cell	CVCL_0030	HeLa	30Y6M	female	African American	adult stage	1	KU020_UHRF1_HE_Joe	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	not available	1	1	KU020_UHRF1_HE_Joe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	hemi-methylated DNA
HeLa_UnDNA_propionyl	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	cell line	HeLa cell	CVCL_0030	HeLa	30Y6M	female	African American	adult stage	1	KU021_UHRF1_UN_Propionylation_Joe	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Arg-C;AC=MS:1001303	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Fixed	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	not available	1	1	KU021_UHRF1_UN_Propionylation_Joe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	unmethylated DNA
HeLa_HeDNA_propionyl	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	cell line	HeLa cell	CVCL_0030	HeLa	30Y6M	female	African American	adult stage	1	KU022_UHRF1_HE_Propionylation_Joe	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Arg-C;AC=MS:1001303	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Fixed	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	not available	1	1	KU022_UHRF1_HE_Propionylation_Joe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	hemi-methylated DNA
