source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
BacSUdouble_deltaYwlEMcsB_TiO2_rep1_c	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUdouble_deltaYwlEMcsB_TiO2_rep1_c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUdouble_deltaYwlEMcsB_TiO2_rep1_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUdouble_deltaYwlEMcsB_TiO2_rep1_c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_TiO2_rep1	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_TiO2_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_TiO2_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_TiO2_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_pervanadate_TiO2_rep2_heatshock	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_pervanadate_TiO2_rep2_heatshock	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_pervanadate_TiO2_rep2_heatshock.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_pervanadate_TiO2_rep2_heatshock.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_pervanadate_TiO2_rep1_control	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_pervanadate_TiO2_rep1_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_pervanadate_TiO2_rep1_control.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_pervanadate_TiO2_rep1_control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_deltaYwlE_iTRAQ_TiO2_rep1	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_deltaYwlE_iTRAQ_TiO2_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUprotein_deltaYwlE_iTRAQ_SCX_Flowthrough	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_Flowthrough	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_Flowthrough.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUprotein_deltaYwlE_iTRAQ_SCX_Flowthrough.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_deltaYwlE_iTRAQ_TiO2_rep2	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_deltaYwlE_iTRAQ_TiO2_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_pervanadate_TiO2_rep1_heatshock	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_pervanadate_TiO2_rep1_heatshock	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_pervanadate_TiO2_rep1_heatshock.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_pervanadate_TiO2_rep1_heatshock.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep2	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUdouble_deltaYwlEMcsB_TiO2_rep1_h	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUdouble_deltaYwlEMcsB_TiO2_rep1_h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUdouble_deltaYwlEMcsB_TiO2_rep1_h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUdouble_deltaYwlEMcsB_TiO2_rep1_h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
