source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[disease]	characteristics[cell type]	assay name	technology type	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
1-AC BSA 1	mus musculus	Pancreatic islets	1	not applicable	not applicable	Dispersed pancreatic islet cells	19284	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8379_Cosentino_DIA_19284_20SPD_20ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC BSA
2-Glu BSA 1	mus musculus	Pancreatic islets	2	not applicable	not applicable	Dispersed pancreatic islet cells	19285	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8402_Cosentino_DIA_19285_20SPD_20ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Glu BSA
3-AC PA 1	mus musculus	Pancreatic islets	3	not applicable	not applicable	Dispersed pancreatic islet cells	19286	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8393_Cosentino_DIA_19286_20SPD_20ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC PA
4-GLU PA 1	mus musculus	Pancreatic islets	4	not applicable	not applicable	Dispersed pancreatic islet cells	19287	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8387_Cosentino_DIA_19287_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GLU PA
5-AC BSA 2	mus musculus	Pancreatic islets	5	not applicable	not applicable	Dispersed pancreatic islet cells	19288	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8388_Cosentino_DIA_19288_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC BSA
6-GLU BSA 2	mus musculus	Pancreatic islets	6	not applicable	not applicable	Dispersed pancreatic islet cells	19289	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8391_Cosentino_DIA_19289_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Glu BSA
7-AC PA 2	mus musculus	Pancreatic islets	7	not applicable	not applicable	Dispersed pancreatic islet cells	19290	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8390_Cosentino_DIA_19290_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC PA
8-GLU PA 2	mus musculus	Pancreatic islets	8	not applicable	not applicable	Dispersed pancreatic islet cells	19291	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8397_Cosentino_DIA_19291_20SPD_20ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GLU PA
9-AC BSA 3	mus musculus	Pancreatic islets	9	not applicable	not applicable	Dispersed pancreatic islet cells	19292	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8385_Cosentino_DIA_19292_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	AC BSA
10-GLU BSA 3	mus musculus	Pancreatic islets	10	not applicable	not applicable	Dispersed pancreatic islet cells	19293	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	8381_Cosentino_DIA_19293_20SPD_10ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Glu BSA
