source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD024655-Sample-1	Saccharomyces cerevisiae	not available	not available	1	H085375_WNE-2_PRC-5120_1_Thevelein_ref_sample_1_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085375_WNE-2_PRC-5120_1_Thevelein_ref_sample_1_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-2	Saccharomyces cerevisiae	not available	not available	1	H085377_WNE-2_PRC-5120_4_Thevelein_def_tRNA_sample_2_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085377_WNE-2_PRC-5120_4_Thevelein_def_tRNA_sample_2_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-3	Saccharomyces cerevisiae	not available	not available	1	H085379_WNE-2_PRC-5120_7_Thevelein_mod_tRNA_sample_3_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085379_WNE-2_PRC-5120_7_Thevelein_mod_tRNA_sample_3_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-4	Saccharomyces cerevisiae	not available	not available	1	H085381_WNE-2_PRC-5120_10_Thevelein_mod_tRNA_sample_4_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085381_WNE-2_PRC-5120_10_Thevelein_mod_tRNA_sample_4_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-5	Saccharomyces cerevisiae	not available	not available	1	H085383_WNE-2_PRC-5120_13_Thevelein_mod_tRNA_sample_5_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085383_WNE-2_PRC-5120_13_Thevelein_mod_tRNA_sample_5_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-6	Saccharomyces cerevisiae	not available	not available	1	H085385_WNE-2_PRC-5120_2_Thevelein_ref_sample_1_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085385_WNE-2_PRC-5120_2_Thevelein_ref_sample_1_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-7	Saccharomyces cerevisiae	not available	not available	1	H085387_WNE-2_PRC-5120_5_Thevelein_def_tRNA_sample_2_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085387_WNE-2_PRC-5120_5_Thevelein_def_tRNA_sample_2_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-8	Saccharomyces cerevisiae	not available	not available	1	H085389_WNE-2_PRC-5120_8_Thevelein_mod_tRNA_sample_3_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085389_WNE-2_PRC-5120_8_Thevelein_mod_tRNA_sample_3_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-9	Saccharomyces cerevisiae	not available	not available	1	H085391_WNE-2_PRC-5120_11_Thevelein_mod_tRNA_sample_4_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085391_WNE-2_PRC-5120_11_Thevelein_mod_tRNA_sample_4_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024655-Sample-10	Saccharomyces cerevisiae	not available	not available	1	H085393_WNE-2_PRC-5120_14_Thevelein_mod_tRNA_sample_5_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	H085393_WNE-2_PRC-5120_14_Thevelein_mod_tRNA_sample_5_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
