source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
100322AlejandropYRTr2-12	Homo sapiens	not available	not applicable	not available	1	100322AlejandropYRTr2-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100322AlejandropYRTr2-12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100322AlejandropYRTr2-12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandropYPLPCr1-3	Homo sapiens	not available	not applicable	not available	1	100630AlejandropYPLPCr1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandropYPLPCr1-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandropYPLPCr1-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandropYKODAr2-4	Homo sapiens	not available	not applicable	not available	1	100630AlejandropYKODAr2-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandropYKODAr2-4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandropYKODAr2-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroLWF1KODAr1-9	Homo sapiens	not available	not applicable	not available	1	100630AlejandroLWF1KODAr1-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroLWF1KODAr1-9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroLWF1KODAr1-9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100322AlejandropYThrr2-13	Homo sapiens	not available	not applicable	not available	1	100322AlejandropYThrr2-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100322AlejandropYThrr2-13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100322AlejandropYThrr2-13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTRestingLWF1r2-5	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTRestingLWF1r2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTRestingLWF1r2-5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTRestingLWF1r2-5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTThrLWF1r2-6	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTThrLWF1r2-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTThrLWF1r2-6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTThrLWF1r2-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTRestingF2r1-10	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTRestingF2r1-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTRestingF2r1-10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTRestingF2r1-10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroLWF1KODAr2-11	Homo sapiens	not available	not applicable	not available	1	100630AlejandroLWF1KODAr2-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroLWF1KODAr2-11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroLWF1KODAr2-11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTThrF2r1-11	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTThrF2r1-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTThrF2r1-11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTThrF2r1-11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandropYPLPCr2-3	Homo sapiens	not available	not applicable	not available	1	100630AlejandropYPLPCr2-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandropYPLPCr2-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandropYPLPCr2-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroLWF1PLPCr1-8	Homo sapiens	not available	not applicable	not available	1	100630AlejandroLWF1PLPCr1-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroLWF1PLPCr1-8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroLWF1PLPCr1-8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroF2PLPCr1-15	Homo sapiens	not available	not applicable	not available	1	100630AlejandroF2PLPCr1-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroF2PLPCr1-15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroF2PLPCr1-15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTThrF2r2-13	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTThrF2r2-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTThrF2r2-13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTThrF2r2-13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroF2KODAr1-16	Homo sapiens	not available	not applicable	not available	1	100630AlejandroF2KODAr1-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroF2KODAr1-16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroF2KODAr1-16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100322AlejandropYThrr1-7	Homo sapiens	not available	not applicable	not available	1	100322AlejandropYThrr1-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100322AlejandropYThrr1-7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100322AlejandropYThrr1-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100322AlejandropYRTr1-6	Homo sapiens	not available	not applicable	not available	1	100322AlejandropYRTr1-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100322AlejandropYRTr1-6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100322AlejandropYRTr1-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroF2PLPCr2-17	Homo sapiens	not available	not applicable	not available	1	100630AlejandroF2PLPCr2-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroF2PLPCr2-17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroF2PLPCr2-17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandropYKODAr1-4	Homo sapiens	not available	not applicable	not available	1	100630AlejandropYKODAr1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandropYKODAr1-4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandropYKODAr1-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTThrLWF1r1-4	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTThrLWF1r1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTThrLWF1r1-4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTThrLWF1r1-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100405AlejandropSpTRestingLWF1r1-3	Homo sapiens	not available	not applicable	not available	1	100405AlejandropSpTRestingLWF1r1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100405AlejandropSpTRestingLWF1r1-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100405AlejandropSpTRestingLWF1r1-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
100630AlejandroF2KODAr2-18	Homo sapiens	not available	not applicable	not available	1	100630AlejandroF2KODAr2-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	not available	1	1	100630AlejandroF2KODAr2-18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000451/100630AlejandroF2KODAr2-18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
