source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130425_o1__25_ph130410_ot_LD04-4_B23	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__25_ph130410_ot_LD04-4_B23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__25_ph130410_ot_LD04-4_B23.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__25_ph130410_ot_LD04-4_B23.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__17_ph130410_ot_LD12-3_B15	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__17_ph130410_ot_LD12-3_B15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__17_ph130410_ot_LD12-3_B15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__17_ph130410_ot_LD12-3_B15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__13_ph130410_ot_LD04-2_B12	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__13_ph130410_ot_LD04-2_B12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__13_ph130410_ot_LD04-2_B12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__13_ph130410_ot_LD04-2_B12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__31_ph130410_ot_LD20-5_B28	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__31_ph130410_ot_LD20-5_B28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__31_ph130410_ot_LD20-5_B28.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__31_ph130410_ot_LD20-5_B28.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__02_ph130410_ot_LD08-1_B1	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__02_ph130410_ot_LD08-1_B1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__02_ph130410_ot_LD08-1_B1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__02_ph130410_ot_LD08-1_B1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__23_ph130410_ot_LD20-4_B21	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__23_ph130410_ot_LD20-4_B21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__23_ph130410_ot_LD20-4_B21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__23_ph130410_ot_LD20-4_B21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__07_ph130410_ot_LD12-1_B6	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__07_ph130410_ot_LD12-1_B6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__07_ph130410_ot_LD12-1_B6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__07_ph130410_ot_LD12-1_B6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__21_ph130410_ot_LD16-4_B19	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__21_ph130410_ot_LD16-4_B19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__21_ph130410_ot_LD16-4_B19.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__21_ph130410_ot_LD16-4_B19.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__04_ph130410_ot_LD04-1_B3	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__04_ph130410_ot_LD04-1_B3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__04_ph130410_ot_LD04-1_B3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__04_ph130410_ot_LD04-1_B3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__10_ph130410_ot_LD08-2_B9	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__10_ph130410_ot_LD08-2_B9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__10_ph130410_ot_LD08-2_B9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__10_ph130410_ot_LD08-2_B9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__09_ph130410_ot_LD12-2_B8	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__09_ph130410_ot_LD12-2_B8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__09_ph130410_ot_LD12-2_B8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__09_ph130410_ot_LD12-2_B8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__19_ph130410_ot_LD20-3_B17	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__19_ph130410_ot_LD20-3_B17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__19_ph130410_ot_LD20-3_B17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__19_ph130410_ot_LD20-3_B17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
