source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[enrichment process]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism]
cat_skin_fibroblast_phospho_pool	NT=Felis catus;AC=NCBITaxon:9685	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=cat_skin_fibroblast_rep1;SN=cat_skin_fibroblast_rep2;SN=cat_skin_fibroblast_rep3	pooled	phospho_run_cat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Cat_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Felis catus;AC=NCBITaxon:9685
cow_skin_fibroblast_phospho_pool	NT=Bos taurus;AC=NCBITaxon:9913	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=cow_skin_fibroblast_rep1;SN=cow_skin_fibroblast_rep2;SN=cow_skin_fibroblast_rep3	pooled	phospho_run_cow	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Cow_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Bos taurus;AC=NCBITaxon:9913
dog_skin_fibroblast_phospho_pool	NT=Canis lupus familiaris;AC=NCBITaxon:9615	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=dog_skin_fibroblast_rep1;SN=dog_skin_fibroblast_rep2;SN=dog_skin_fibroblast_rep3	pooled	phospho_run_dog	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Dog_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Canis lupus familiaris;AC=NCBITaxon:9615
horse_skin_fibroblast_phospho_pool	NT=Equus caballus;AC=NCBITaxon:9796	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=horse_skin_fibroblast_rep1;SN=horse_skin_fibroblast_rep2;SN=horse_skin_fibroblast_rep3	pooled	phospho_run_horse	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Horse_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Equus caballus;AC=NCBITaxon:9796
human_skin_fibroblast_phospho_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	male	not available	cell line	NT=BJ-5ta;AC=CLO:0001981	CVCL_6573	BJ-5ta	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=human_skin_fibroblast_rep1;SN=human_skin_fibroblast_rep2;SN=human_skin_fibroblast_rep3;SN=human_skin_fibroblast_rep4;SN=human_skin_fibroblast_rep5;SN=human_skin_fibroblast_rep6	pooled	phospho_run_human	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Human_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
monkey_skin_fibroblast_phospho_pool	NT=Macaca mulatta;AC=NCBITaxon:9544	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=monkey_skin_fibroblast_rep1;SN=monkey_skin_fibroblast_rep2	pooled	phospho_run_monkey	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Monkey_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Macaca mulatta;AC=NCBITaxon:9544
opossum_skin_fibroblast_phospho_pool	NT=Monodelphis domestica;AC=NCBITaxon:13616	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=opossum_skin_fibroblast_rep1;SN=opossum_skin_fibroblast_rep2;SN=opossum_skin_fibroblast_rep3	pooled	phospho_run_opossum	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Opposum_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Monodelphis domestica;AC=NCBITaxon:13616
pig_skin_fibroblast_phospho_pool	NT=Sus scrofa;AC=NCBITaxon:9823	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=pig_skin_fibroblast_rep1;SN=pig_skin_fibroblast_rep2;SN=pig_skin_fibroblast_rep3	pooled	phospho_run_pig	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Pig_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Sus scrofa;AC=NCBITaxon:9823
rabbit_skin_fibroblast_phospho_pool	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=rabbit_skin_fibroblast_rep1;SN=rabbit_skin_fibroblast_rep2;SN=rabbit_skin_fibroblast_rep3	pooled	phospho_run_rabbit	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Rabbit_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986
rat_skin_fibroblast_phospho_pool	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=skin of body;AC=UBERON:0002097	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	NT=enrichment of phosphorylated protein;AC=EFO:0010806	SN=rat_skin_fibroblast_rep1;SN=rat_skin_fibroblast_rep2;SN=rat_skin_fibroblast_rep3	pooled	phospho_run_rat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	202003021_Rat_mixed_phos.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Rattus norvegicus;AC=NCBITaxon:10116
