source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[group]
Col-0_Replicate_1	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	1	run 019_S979374	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_019_S979374_33_Group_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	no silencing control
Col-0_Replicate_2	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	2	run 003_S979375	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_003_S979375_34_Group_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	no silencing control
Col-0_Replicate_3	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	3	run 014_S979376	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_014_S979376_35_Group_4_repetition.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	no silencing control
Col-0_Replicate_4	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	4	run 008_S979377	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_008_S979377_36_Group_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	no silencing control
amiR-uL4c_Replicate_1	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	1	run 015_S979362	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_015_S979362_1_Group_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	uL4c silencing control
amiR-uL4c_Replicate_2	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	2	run 007_S979363	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_007_S979363_2_Group_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	uL4c silencing control
amiR-uL4c_Replicate_3	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	3	run 010_S979364	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_010_S979364_3_Group_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	uL4c silencing control
amiR-uL4c_Replicate_4	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	4	run 023_S979365	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_023_S979365_4_Group_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	uL4c silencing control
amiR-mkip1-1_Replicate_1	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	1	run 004_S979370	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_004_S979370_47_Group_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	strong MKIP1 silencing
amiR-mkip1-1_Replicate_2	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	2	run 020_S979371	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_020_S979371_49_Group_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	strong MKIP1 silencing
amiR-mkip1-1_Replicate_3	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	3	run 012_S979373	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_012_S979373_52_Group_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	strong MKIP1 silencing
amiR-mkip1-1_Replicate_4	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	4	run 017_S979372	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_017_S979372_51_Group_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	strong MKIP1 silencing
amiR-mkip1-2_Replicate_1	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	1	run 018_S979366	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_018_S979366_73_Group_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mild MKIP1 silencing
amiR-mkip1-2_Replicate_2	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	2	run 022_S979367	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_022_S979367_74_Group_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mild MKIP1 silencing
amiR-mkip1-2_Replicate_3	Arabidopsis thaliana	newly emerged leaves	not applicable	Estradiol-treated	3	run 002_S979368	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20250716_002_S979368_78_Group_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mild MKIP1 silencing
