source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[filter size]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[depth]	factor value[collection date]
PXD009712_sample35	PXD009712_sample35	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	40 m	epipelagic	0.2-3.0 micrometer	1	st12_040m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st12_040m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	40 m	23/10/2011
PXD009712_sample35	PXD009712_sample35	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	40 m	epipelagic	0.2-3.0 micrometer	1	st12_040m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st12_040m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	40 m	23/10/2011
PXD009712_sample36	PXD009712_sample36	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st12_120m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st12_120m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	23/10/2011
PXD009712_sample36	PXD009712_sample36	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st12_120m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st12_120m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	23/10/2011
PXD009712_sample37	PXD009712_sample37	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	300 m	mesopelagic	0.2-3.0 micrometer	1	st12_300m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st12_300m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	300 m	23/10/2011
PXD009712_sample37	PXD009712_sample37	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	15 S, 173.1 W	23/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	300 m	mesopelagic	0.2-3.0 micrometer	1	st12_300m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st12_300m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	300 m	23/10/2011
PXD009712_sample1	PXD009712_sample1	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	50 m	epipelagic	0.2-3.0 micrometer	1	st1_050m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_050m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	50 m	05/10/2011
PXD009712_sample1	PXD009712_sample1	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	50 m	epipelagic	0.2-3.0 micrometer	1	st1_050m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_050m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	50 m	05/10/2011
PXD009712_sample2	PXD009712_sample2	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	90 m	epipelagic	0.2-3.0 micrometer	1	st1_090m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_090m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	90 m	05/10/2011
PXD009712_sample2	PXD009712_sample2	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	90 m	epipelagic	0.2-3.0 micrometer	1	st1_090m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_090m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	90 m	05/10/2011
