source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[metronidazole resistant]	characteristics[treated]	characteristics[control]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
MS-19-045b-1	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6	1	No	No	Yes	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-2	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M2	1	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-3	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1NR	1	No	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-4	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	1	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-5	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	1	Yes	Yes	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-6	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6	2	No	No	Yes	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-7	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M2	2	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-8	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1NR	2	No	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-9	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	2	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-10	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	2	Yes	Yes	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
