source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]
CAF20240205gaohh_EV_24minDIA_30F_F1	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAF20240205gaohh_EV_24minDIA_30F_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F10	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	10	CAF20240205gaohh_EV_24minDIA_30F_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F11	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	11	CAF20240205gaohh_EV_24minDIA_30F_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F12	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	12	CAF20240205gaohh_EV_24minDIA_30F_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F13	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	13	CAF20240205gaohh_EV_24minDIA_30F_F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F14	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	14	CAF20240205gaohh_EV_24minDIA_30F_F14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F15	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	15	CAF20240205gaohh_EV_24minDIA_30F_F15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F16	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	16	CAF20240205gaohh_EV_24minDIA_30F_F16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F17	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	17	CAF20240205gaohh_EV_24minDIA_30F_F17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
CAF20240205gaohh_EV_24minDIA_30F_F18	Homo sapiens	Blood plasma	not available	not available	not available	1	CAF20240205gaohh_EV_24minDIA_30F_F18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	18	CAF20240205gaohh_EV_24minDIA_30F_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OmniProt nanoparticle comparison (pooled plasma, 30 fractions)
