source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
1	1	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
11	11	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
12	12	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
13	13	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
14	14	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
15	15	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
1600ng_2	1600ng_2	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	1600ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1600ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
2	2	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
2000ng_1	2000ng_1	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	2000ng_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2000ng_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
2000ng_16	2000ng_16	soil metagenome	soil	not applicable	not available	Metaproteomics_of_the_marine_gutless_oligochaete_Olavius_algarvensis_and_its_symbionts_to_determine_stable_isotope_fingerprints_using_Direct_Protein-SIF	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	2000ng_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2000ng_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
