source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[tissue supergroup]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	factor value[cell line]
PXD066284-sample-1	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	1	Affinity purification coupled with mass spectrometry proteomics	E250403_01_KL_PSMB4_pulldownID_Control_XL_rep1_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	1	E250403_01_KL_PSMB4_pulldownID_Control_XL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-1	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	1	Affinity purification coupled with mass spectrometry proteomics	E250403_02_KL_PSMB4_pulldownID_Control_XL_rep1_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	2	E250403_02_KL_PSMB4_pulldownID_Control_XL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-2	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	2	Affinity purification coupled with mass spectrometry proteomics	E250403_04_KL_PSMB4_pulldownID_Control_XL_rep2_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	1	E250403_04_KL_PSMB4_pulldownID_Control_XL_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-2	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	2	Affinity purification coupled with mass spectrometry proteomics	E250403_05_KL_PSMB4_pulldownID_Control_XL_rep2_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	2	E250403_05_KL_PSMB4_pulldownID_Control_XL_rep2_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-3	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	3	Affinity purification coupled with mass spectrometry proteomics	E250403_07_KL_PSMB4_pulldownID_Control_XL_rep3_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	1	E250403_07_KL_PSMB4_pulldownID_Control_XL_rep3_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-3	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116	CVCL_0291	HCT 116	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	3	Affinity purification coupled with mass spectrometry proteomics	E250403_08_KL_PSMB4_pulldownID_Control_XL_rep3_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	2	E250403_08_KL_PSMB4_pulldownID_Control_XL_rep3_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116
PXD066284-sample-4	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in	not available	not available	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	1	Affinity purification coupled with mass spectrometry proteomics	E250403_10_KL_PSMB4_pulldownID_Beta4KI_XL_rep1_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	1	E250403_10_KL_PSMB4_pulldownID_Beta4KI_XL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in
PXD066284-sample-4	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in	not available	not available	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	1	Affinity purification coupled with mass spectrometry proteomics	E250403_11_KL_PSMB4_pulldownID_Beta4KI_XL_rep1_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	2	E250403_11_KL_PSMB4_pulldownID_Beta4KI_XL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in
PXD066284-sample-5	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in	not available	not available	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	2	Affinity purification coupled with mass spectrometry proteomics	E250403_13_KL_PSMB4_pulldownID_Beta4KI_XL_rep2_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	1	E250403_13_KL_PSMB4_pulldownID_Beta4KI_XL_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in
PXD066284-sample-5	Homo sapiens	colon	colon carcinoma	epithelial cell	cell line	not available	48Y	male	adult	not available	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in	not available	not available	colon	not available	ATCC	not available	McCoy's 5A Modified Medium	not applicable	gastrointestinal tract	2	Affinity purification coupled with mass spectrometry proteomics	E250403_14_KL_PSMB4_pulldownID_Beta4KI_XL_rep2_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=SDA;MT=Variable;TA=K;MM=82.04186	NT=Hydrolyzed SDA;MT=Variable;TA=K;MM=100.05243	NT=Hydrolyzed SDA (dehydrated);MT=Variable;TA=K;MM=110.04801	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M;MM=-131.040485	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	29% NCE	20 ppm	20 ppm	NT=Dithiothreitol;AC=PRIDE:0000608	NT=Iodoacetamide;AC=PRIDE:0000599	1	2	E250403_14_KL_PSMB4_pulldownID_Beta4KI_XL_rep2_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134	HCT116 PSMB4-TEV-Biotin-P2A-mScarlet knock-in
