source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Ecoli_Ex_1	Escherichia coli	not available	not applicable	1	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_UI_ext_16.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_2	Escherichia coli	not available	not applicable	2	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_I_ext_35.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_3	Escherichia coli	not available	not applicable	3	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_I_ext_36.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_4	Escherichia coli	not available	not applicable	4	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_G1_I_ext_53.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_5	Escherichia coli	not available	not applicable	5	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_I_ext_32.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_6	Escherichia coli	not available	not applicable	6	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_G1_I_ext_51.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_7	Escherichia coli	not available	not applicable	7	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_UI_ext_17.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_8	Escherichia coli	not available	not applicable	8	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_I_ext_33.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_9	Escherichia coli	not available	not applicable	9	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_G1_I_ext_52.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_10	Escherichia coli	not available	not applicable	10	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_UI_ext_15.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_11	Escherichia coli	not available	not applicable	11	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_G1_I_ext_50.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_12	Escherichia coli	not available	not applicable	12	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_UI_ext_14.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_13	Escherichia coli	not available	not applicable	13	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_UI_ext_18.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_14	Escherichia coli	not available	not applicable	14	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_E1_I_ext_34.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Ecoli_Ex_15	Escherichia coli	not available	not applicable	15	not applicable	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	20160708_ND_RM_90min_G1_I_ext_54.raw	v1.1.0	Data-dependent acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	not available	NT=ms-proteomics;VV=v1.1.0	2	4	27 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
