source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[metagenome accession]	comment[sample preparation batch]	comment[acquisition date]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host subject id]
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_1_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	2	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_2_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	3	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_3_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	4	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_4_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	5	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_5_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	6	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_6_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	7	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_7_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	8	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_8_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	9	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_9_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
A2	A2	human gut metagenome	feces	fecal material	Germany	Homo sapiens	A2	healthy	feces	no depletion	1	A2_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	NT=label free sample;AC=MS:1002038	10	NT=SDS PAGE;AC=PRIDE:0000568	10 ppm	50 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	PRJEB44766	batch1_20190109	2019-01-09	1	20190109_Blank_Wilmes_Extracelluar_A2_10_C18_HPLC_120min_10uL_QE3.raw	v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	A2
