source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 1	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1886_07042024_11-Apr-24_5607	proteomic profiling by mass spectrometry	TTP_YS_21166_1886_07042024_11-Apr-24_5607.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 1
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 2	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1887_07042024_11-Apr-24_5608	proteomic profiling by mass spectrometry	TTP_YS_21166_1887_07042024_11-Apr-24_5608.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 2
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 3	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1888_07042024_11-Apr-24_5609	proteomic profiling by mass spectrometry	TTP_YS_21166_1888_07042024_11-Apr-24_5609.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 KO Pool 3
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 2	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1889_07042024_11-Apr-24_5610	proteomic profiling by mass spectrometry	TTP_YS_21166_1889_07042024_11-Apr-24_5610.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 2
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 3	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1890_07042024_11-Apr-24_5611	proteomic profiling by mass spectrometry	TTP_YS_21166_1890_07042024_11-Apr-24_5611.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 3
DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 1	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_21166_1891_07042024_12-Apr-24_5612	proteomic profiling by mass spectrometry	TTP_YS_21166_1891_07042024_12-Apr-24_5612.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_mouse DCs+ TCL (Tumor cell lysate)-TYW2 WT Pool 1
DCs_Immunopeptidome_DC mouse classI unloaded	Mus musculus	bone marrow	normal	not applicable	6W	female	not applicable	not available	cell	1	immunoaffinity purification	MHC class I protein complex	H-2Db;H-2Kb	anti-H-2Db (UNLB);anti-H-2Kb (Y-3)	TTP_YS_20896_1865_13032024_13-Mar-24_5403	proteomic profiling by mass spectrometry	TTP_YS_20896_1865_13032024_13-Mar-24_5403.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DCs_Immunopeptidome_DC mouse classI unloaded
