source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
DDA_30min_200ng_QCPlasma_Slot1-36_1_4363	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4363	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4363.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
DDA_30min_200ng_QCPlasma_Slot1-36_1_4364	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4364	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4364.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
DDA_30min_200ng_QCPlasma_Slot1-36_1_4365	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4365	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_30min_200ng_QCPlasma_Slot1-36_1_4365.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
DDA_50min_200ng_QCPlasma_Slot1-36_1_4366	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4366	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4366.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
DDA_50min_200ng_QCPlasma_Slot1-36_1_4367	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4367	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4367.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
DDA_50min_200ng_QCPlasma_Slot1-36_1_4368	Homo sapiens	Blood plasma	not available	not available	not available	not applicable	not available	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4368	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	DDA_50min_200ng_QCPlasma_Slot1-36_1_4368.mzml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Blood plasma
