source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PIK3CA_Total_proteome_12	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	12	PIK3CA_Total_proteome_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_2	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	2	PIK3CA_Total_proteome_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_7	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	7	PIK3CA_Total_proteome_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_6	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	6	PIK3CA_Total_proteome_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_10	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	10	PIK3CA_Total_proteome_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_3	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	3	PIK3CA_Total_proteome_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_1	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	1	PIK3CA_Total_proteome_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_11	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	11	PIK3CA_Total_proteome_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Xinyan_pY_Her3_2	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	2	Xinyan_pY_Her3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Xinyan_pY_Her3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/Xinyan_pY_Her3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PIK3CA_Total_proteome_4	homo sapiens	Epithelial cell	not applicable	Breast cancer	antibody enrichment	4	PIK3CA_Total_proteome_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.1 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PIK3CA_Total_proteome_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD001460/PIK3CA_Total_proteome_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
