source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
aptamer_G4	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G4 pulldown	18	run 31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_G4_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G4 pulldown
aptamer_G4	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G4 pulldown	18	run 32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_G4_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G4 pulldown
aptamer_H1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer H1 pulldown	19	run 33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_H1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer H1 pulldown
aptamer_H1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer H1 pulldown	19	run 34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_H1_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer H1 pulldown
aptamer_H1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer H1 pulldown	19	run 35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	3	1	Aptamer_H1_Band_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer H1 pulldown
aptamer_H1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer H1 pulldown	19	run 36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	4	1	Aptamer_H1_Band_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer H1 pulldown
aptamer_H1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer H1 pulldown	19	run 37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	5	1	Aptamer_H1_Band_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer H1 pulldown
aptamer_J1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer J1 pulldown	20	run 38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_J1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer J1 pulldown
aptamer_L1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer L1 pulldown	21	run 39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_L1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer L1 pulldown
aptamer_N1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer N1 pulldown	22	run 40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_N1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer N1 pulldown
aptamer_N1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer N1 pulldown	22	run 41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_N1_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer N1 pulldown
aptamer_O1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer O1 pulldown	23	run 42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_O1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer O1 pulldown
