source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
aptamer_C1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C1 pulldown	7	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	6	1	Aptamer_C1_Band_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C1 pulldown
aptamer_C2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C2 pulldown	8	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_C2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C2 pulldown
aptamer_C2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C2 pulldown	8	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_C2_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C2 pulldown
aptamer_D1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer D1 pulldown	9	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_D1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer D1 pulldown
aptamer_D2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer D2 pulldown	10	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_D2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer D2 pulldown
aptamer_E1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E1 pulldown	11	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_E1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E1 pulldown
aptamer_E1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E1 pulldown	11	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_E1_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E1 pulldown
aptamer_E2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E2 pulldown	12	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_E2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E2 pulldown
aptamer_E2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E2 pulldown	12	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_E2_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E2 pulldown
aptamer_E3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E3 pulldown	13	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_E3_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E3 pulldown
