source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[metagenome accession]	comment[sample storage temperature]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
aff_01	aff_01	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	Quick Freeze	1	aff_01	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	aff_01.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Quick Freeze
aff_02	aff_02	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	Quick Freeze	2	aff_02	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	aff_02.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Quick Freeze
aff_03	aff_03	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	Quick Freeze	3	aff_03	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	aff_03.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Quick Freeze
arl_01	arl_01	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	RNAlater specimen	1	arl_01	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	arl_01.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	RNAlater specimen
arl_02	arl_02	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	RNAlater specimen	2	arl_02	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	arl_02.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	RNAlater specimen
arl_03	arl_03	human gut metagenome	feces	not applicable	not available	PXD014482	fecal material	Luxembourg	gut microbiome	Homo sapiens	anonymized	not available	feces	RNAlater specimen	3	arl_03	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Any N-term;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;PP=Any N-term;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=SDS PAGE;AC=PRIDE:0000568	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	10 ppm	0.5 Da	1	1	arl_03.tar.gz	PRJNA289586	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	RNAlater specimen
