source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PCW-Lake-Huron#47-A1	PCW-Lake-Huron_47-A1	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-A2	PCW-Lake-Huron_47-A2	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-A3	PCW-Lake-Huron_47-A3	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-A4	PCW-Lake-Huron_47-A4	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-A5	PCW-Lake-Huron_47-A5	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-A6	PCW-Lake-Huron_47-A6	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-A6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-A6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B1	PCW-Lake-Huron_47-B1	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B2	PCW-Lake-Huron_47-B2	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B3	PCW-Lake-Huron_47-B3	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B4	PCW-Lake-Huron_47-B4	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B5	PCW-Lake-Huron_47-B5	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-B6	PCW-Lake-Huron_47-B6	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-B6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-C1	PCW-Lake-Huron_47-C1	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-C1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-C2	PCW-Lake-Huron_47-C2	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-C2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-C3	PCW-Lake-Huron_47-C3	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-C3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
PCW-Lake-Huron#47-C4	PCW-Lake-Huron_47-C4	freshwater metagenome	freshwater	not applicable	not available	Middle_Island_Sinkhole_microbial_mat_protein_stable_isotope_fingerprinting	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	PCW-Lake-Huron#47-C4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	PCW-Lake-Huron#47-C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	freshwater
